,genes,avg_scores
0,TPRG1,3.846715312133833
1,CLCA2,3.8544281495305
2,SLC22A8,3.637731763268013
3,SLC38A6,3.8877528619069994
4,STK10,3.993502367704666
5,PTCD1,4.1243560800641665
6,CYLC2,4.023654589590868
7,OXCT2,3.7147547749895
8,CFP,3.944540451880333
9,TM7SF3,4.0468514184635005
10,SCAP,3.738647857062333
11,SCNN1B,4.034916790465071
12,LAGE3,4.841679310222
13,KIF5C,4.8848775279005
14,SFXN4,3.9499258245113333
15,TADA1,4.459746785097416
16,DACT2,4.157680524433
17,NEBL,4.458974228574999
18,NSUN2,4.269178826807832
19,ACBD3,4.2680467430119995
20,TONSL,4.595987219745999
21,KDR,4.473326438803333
22,FZR1,4.233371859840499
23,PRPS1,4.686516734253499
24,GPLD1,4.2616212072718325
25,PLB1,4.014020724019083
26,UBAP2,4.256182798239333
27,HMGCR,4.096075117069334
28,SHROOM2,4.445898291229583
29,ITPKB,4.164909829899
30,ARFGAP2,4.702392603562
31,PTPN4,5.12736196573575
32,CD244,4.173706708435416
33,TCFL5,3.937730497925595
34,GNA15,4.21902959072
35,AACS,3.958899381802333
36,AP1M1,4.213744916103833
37,ZNF774,4.285080248078072
38,ATP8B1,3.8433205220284163
39,S100G,3.139498908711587
40,TCF3,4.294409956711818
41,PIP5KL1,3.929415415747666
42,RPA3,4.5384240723817495
43,SLC24A2,4.811207627740082
44,IQGAP2,4.115063433990249
45,SAPCD2,4.130613026121583
46,PIK3R4,4.359891492631499
47,RAB32,4.5900036730425
48,ALG6,3.7362246883314008
49,SERPINF2,4.039369496721
50,MEF2A,4.270391295062833
51,ZC3H7B,4.3187080103115
52,ATG4D,3.8348298812801658
53,HRNR,4.380334525014
54,PTGES,4.156675436507499
55,KIAA1549,4.256790746928785
56,TNFRSF8,3.936855779731333
57,FGD3,3.6204378982383174
58,CACNG4,4.512752375458166
59,CASK,4.608960231739166
60,RASA1,4.724562997820333
61,DST,5.189601221317499
62,RFX5,4.40815746783725
63,KIF4B,4.055628235190166
64,MKS1,3.933785342609901
65,HNMT,3.897341377535555
66,RETSAT,4.128744173102286
67,PATL1,4.3694824089985
68,CUL7,4.487260756853285
69,ENPP6,4.2138324263383335
70,NOLC1,4.341737921349285
71,ANXA13,3.9892333034691667
72,DEAF1,4.5133798972065
73,ENPP4,4.028282975610916
74,WDR6,4.5023902016665
75,NME2,4.434753596725666
76,PUS7L,4.248246665340666
77,SPRY1,4.286762490711571
78,ESCO1,3.773279702705318
79,INTS4,3.928925209433477
80,LRFN4,4.763458080476499
81,YTHDF2,4.432804747890999
82,DUSP9,4.230223052247999
83,B3GALT4,3.5475948144573897
84,PEX11A,3.815626930136666
85,ITGB1BP1,3.895928490202666
86,ZKSCAN5,3.722087757877532
87,BCKDHB,3.906559102558484
88,S100A13,3.898683583895583
89,INF2,4.264111755701368
90,SAR1A,4.654226664603
91,ZNF701,3.4817384625054997
92,POU6F2,4.516607757827999
93,KCNQ5,4.771893048815499
94,PKP2,4.506956533757666
95,KLHL8,4.164201391544832
96,DUS2,3.7335072485831664
97,MREG,4.1646124819454995
98,WNK2,4.227864506534832
99,TNP1,3.9872243035254997
100,IST1,4.014299106570749
101,CCM2,4.603443915285416
102,B4GALT2,4.2292406737578325
103,MALL,4.247608459427999
104,DPYD,4.4794345505974995
105,GOLPH3L,4.1913011126274995
106,KLK9,3.8631245728935677
107,POLB,4.505940542810083
108,RNF133,3.9773641820218177
109,GLRX3,4.367594062733
110,MICALL1,4.393136512936833
111,OR5F1,2.4882126524223027
112,KRT81,4.024309593490499
113,NPY2R,4.708814044985499
114,NRAS,4.680898671450166
115,DNAJB6,4.5988880024199155
116,MRPL11,4.1718388102265
117,LRFN1,4.979261882044999
118,TSPYL6,4.343491051784166
119,EIF2S2,4.591804482349167
120,SETDB2,3.7387025680836667
121,CDNF,3.7076691014881664
122,KIF26B,5.0039706370329995
123,NEDD9,4.605872654146
124,PRKCA,5.423135279983833
125,UBE2D3,4.751686248586833
126,SLC1A4,4.4028529367455
127,FIGNL1,3.8437000808819994
128,RBM11,4.546423989033916
129,CARNS1,3.97467846047
130,CYB5R1,4.1500419759405
131,ZNF529,3.7872893979547495
132,CSNK1G2,3.9207084072958325
133,USP14,4.599777535538999
134,ZBTB7C,4.418193237529166
135,FARP1,4.622705448635749
136,CNTRL,4.267180984476818
137,SCCPDH,4.107340846619
138,GALNT8,3.9790526052740836
139,ALG3,3.8594164759374996
140,TRAIP,4.30094567147425
141,SLC4A5,3.708718855997464
142,SRCAP,4.386729191975832
143,ORMDL1,4.0145717803214165
144,SDCBP2,4.057152644936833
145,DDX19B,4.385880102987818
146,MLLT1,4.257287337682333
147,DNTTIP1,4.265249411751333
148,UQCRB,4.11626520963
149,ICA1,4.3409348868745
150,PIK3CA,4.527116020094333
151,EIF3M,3.9841233233505
152,CNTN1,5.391734411329
153,MUTYH,3.7547694299759997
154,SNX7,4.4356634697678325
155,MYH1,4.39602593944775
156,PCMT1,5.262393612614833
157,CD82,3.9444918030339995
158,HOXA9,3.8038360891996668
159,EIF3A,4.117640516879167
160,NEDD1,4.317065808313999
161,ZNF746,4.208530154977166
162,IFNL1,3.7739831501083323
163,VWCE,3.846115855401214
164,RAC2,4.680132876567666
165,ACAA1,4.000945069979999
166,SLC6A15,5.109003136468999
167,IDE,4.260374526994666
168,IVNS1ABP,4.074816346731499
169,DNAJB5,4.1801388984943335
170,TNRC6A,4.2056861347688805
171,CYBRD1,4.3605803503855
172,SLITRK6,3.8075094010089994
173,PARVB,3.8884561643978333
174,LAMA5,4.47727117962625
175,CSTF2,4.3391292093755
176,CENPN,3.5889914522261663
177,GLIPR2,4.295603204989333
178,ERCC3,4.328842358022
179,KRT31,4.268780594763499
180,MIB1,4.640774197914917
181,ACTR1B,4.907740163792499
182,MOK,3.7452969987454514
183,SPEG,4.293140208457499
184,ACOT2,3.85527569713725
185,SNAP25,5.7182046751760005
186,ANKRD30A,4.478437460089
187,DNAH6,4.384166713342165
188,TAPBP,4.4219985735561425
189,UBQLN4,4.5695143124344995
190,ASGR1,4.01563275835825
191,MTRR,3.9787180911114994
192,SLC5A2,3.775992657224571
193,EIF3L,4.329285225759333
194,CFTR,4.481455197066083
195,ARSK,4.0150565824985
196,RPS14,4.782269663959666
197,REEP3,4.276088063400571
198,RDH13,3.9206920787698327
199,NUFIP2,4.352178954417667
200,CRMP1,5.18949451176575
201,ABCA9,3.948668413198583
202,ANAPC4,3.800487011760333
203,JOSD1,4.334623646276999
204,KPNA7,3.7950956715744995
205,UTP14C,3.9371806827413334
206,FBXO40,4.086472215505666
207,RAB22A,4.8545826486345
208,EPN1,4.552319957809499
209,MED16,4.193707514401667
210,KIAA1217,4.67304185224325
211,TMEM143,3.9220679386872495
212,KCNK12,4.565296582639332
213,EGLN1,4.090541521277833
214,GRID2IP,4.35182840446275
215,CBLL1,4.120028394332619
216,PREX2,4.326765148986999
217,CLDN1,3.990122145245571
218,SNCAIP,4.0102091292095
219,RIPK3,4.1330085318415
220,CCZ1,4.062313959163999
221,RCSD1,4.006708695191833
222,SPC24,4.2689619164215
223,RPL32,4.28450734237875
224,FARP2,4.2403727047554165
225,SLCO4A1,3.617994019464151
226,SLC2A6,4.678532860114583
227,MCOLN3,3.8624327695865834
228,NIT2,3.936563835226
229,HEBP2,3.8436433582321787
230,TRPC4AP,4.215597353843916
231,CCNL2,4.001488471653902
232,CLCNKA,3.9153639619633593
233,TMEM192,3.782855533022083
234,SLC25A2,4.344998231813317
235,CEP250,4.201395280229916
236,ZNF775,4.1274005941355
237,LRCH4,3.848645335111
238,CHTF8,3.826365147912666
239,PRPSAP2,4.834257495334928
240,TSPYL4,5.0000510240665
241,ACVRL1,3.970704422025833
242,TPI1,4.9299251001075
243,DHRS1,3.744897849079416
244,SPTLC1,4.370917857917
245,PFKFB1,4.0925459926063175
246,VPS13C,4.517437435248
247,CCNT1,4.321150623198166
248,PCYT1A,4.030592352349499
249,FBXW11,4.956837363765666
250,ARHGEF16,4.155213874153667
251,PI4KB,3.8145310631099334
252,APOOL,4.087567505403416
253,RPP40,3.878139109570833
254,ME3,3.8853368998971662
255,SPIN3,4.7412896791615
256,CPA2,3.9458987240144996
257,NAA11,3.9734716162145
258,ZNF121,3.936188124532222
259,WIPF2,4.645171658334916
260,BEND3,4.144739227661333
261,MED19,4.5267242917353325
262,SLC31A2,4.010185362066535
263,CTSE,3.8055568526263683
264,PNPLA4,3.8988518669134997
265,ARHGEF6,4.457874561408833
266,LRRN4,3.8100094355271663
267,GLP2R,3.9037664159746783
268,BEST3,3.675566938673083
269,SLFN5,4.023326584675999
270,RBMXL1,4.165634068936658
271,FBXL5,4.062678158463735
272,SKI,4.679455512468166
273,ARHGAP12,4.321800789410583
274,ZC3H3,4.408408553515416
275,SMAD1,4.56532829687
276,SLC35A3,3.6775237072984996
277,STAU1,4.682895692995249
278,STAB2,3.8951750596081194
279,SNPH,5.075766340337333
280,NOTUM,3.8726432687404513
281,APOBEC2,3.738003263417894
282,KIF18A,4.1049620774569995
283,MAGEL2,3.8882800686251664
284,SLC6A3,4.0163216727122775
285,ITGB5,4.285850971780905
286,BRD1,4.353557493451666
287,RECQL5,4.021444503223
288,VIPR2,4.253257259448318
289,SIX5,4.033662771451666
290,ZNF275,3.946851764609667
291,PDE3B,3.7752920340184994
292,CNOT11,4.1744499100907495
293,PHLDA3,4.467335634611905
294,ASAP3,4.148365769153499
295,PISD,4.0633487568151665
296,STXBP4,3.8966479385404993
297,HTR2A,4.646727703413416
298,CDAN1,3.906556328921833
299,ACAD10,4.274059698799416
300,CHD4,5.047230368091666
301,CDS1,4.432292707565
302,SLC17A5,4.0856935518403334
303,HSPA1B,4.424327917780333
304,AK5,4.814884242306749
305,DSC2,4.3861857508815
306,TLE2,4.049100936763484
307,USP30,3.9988065379235
308,RARA,4.269894430510083
309,NLRP1,4.285434472717165
310,ZNF282,4.0034061904385
311,CALB1,4.649346194437499
312,IP6K1,4.450478867861916
313,REN,4.187019872486499
314,GBP2,4.180646287887499
315,PTGS1,3.9519538800860823
316,PRKD3,3.9866939477504997
317,SNRK,3.946321612938583
318,ROGDI,4.6263808849179995
319,EIF4E1B,4.869646474411333
320,CDHR2,3.9714962099377376
321,LTK,4.199318911692833
322,PCDH9,5.1957168907055
323,CXCR5,3.6591261779495
324,RITA1,4.6592443458325
325,MAPKAPK2,4.476580069016417
326,LARP6,4.304399999743083
327,GMPPA,3.94843343622848
328,EIF2S3,4.4157651371718325
329,TPST2,3.8983597152933327
330,ANK3,5.658575463282
331,RAN,4.280254647371
332,TRPM2,4.874715571611499
333,DNAH10,4.2069392341390826
334,ZBED4,4.019799226897
335,SLX4,4.604487998507659
336,OR6B1,2.64764542498709
337,DOK6,5.046278894447333
338,VPS54,3.883033942726553
339,EIF4EBP3,4.120936797412167
340,KCNB2,4.714659574625832
