Genes,caudate,cerebral cortex,hippocampus,hypothalamus,Norm_Symbol
TMEM138,0,2,0,0,TMEM138
ARHGAP11A,2,2,2,0,ARHGAP11A
NUDT1,2,1,0,0,NUDT1
AKAP7,0,0,0,0,AKAP7
GAMT,0,0,0,0,GAMT
CLK3,1,2,1,0,CLK3
STK24,1,2,1,0,STK24
TJP3,3,2,3,0,TJP3
ATP10D,2,3,2,0,ATP10D
NUDT13,3,3,3,0,NUDT13
MZT1,0,0,0,0,MZT1
MTDH,0,0,0,0,MTDH
RRBP1,0,0,0,0,RRBP1
RHOA,0,0,0,0,RHOA
APOM,3,2,2,0,APOM
TXNRD1,0,0,0,0,TXNRD1
ARMC5,0,0,0,0,ARMC5
FLAD1,3,3,3,0,FLAD1
GH2,1,0,0,0,GH2
CROT,2,3,3,0,CROT
CD163,2,2,2,0,CD163
ITGB3BP,1,0,1,0,ITGB3BP
STOML2,1,1,0,0,STOML2
ZNF382,0,2,0,0,ZNF382
FERMT1,3,2,3,0,FERMT1
ADCY8,0,0,0,0,ADCY8
GNG7,0,0,0,0,GNG7
DYNC2H1,2,3,3,0,DYNC2H1
GIT1,0,1,1,0,GIT1
GNGT2,1,1,1,0,GNGT2
PAX9,2,2,2,0,PAX9
AVP,3,3,3,0,AVP
MAP2K5,2,2,1,0,MAP2K5
GTF2F1,0,0,0,0,GTF2F1
DNAH5,0,0,0,0,DNAH5
GABARAPL1,2,2,2,0,GABARAPL1
CHIT1,1,2,0,0,CHIT1
LRRC36,2,3,1,0,LRRC36
AC073283.3,2,3,1,0,AC073283.3
KLHL41,2,2,1,0,KLHL41
GOLGA6D,2,2,2,0,GOLGA6D
P4HA3,0,0,0,0,P4HA3
ANKRD42,1,2,1,0,ANKRD42
HRG,3,3,3,0,HRG
GPX4,3,3,3,0,GPX4
EPHB2,1,1,0,0,EPHB2
CLEC3B,2,2,2,0,CLEC3B
AKAP1,0,0,0,0,AKAP1
C1S,0,0,0,3,C1S
JAZF1,1,1,1,0,JAZF1
CRP,2,2,2,0,CRP
DTD2,0,0,0,0,DTD2
MAGED4B,2,2,2,0,MAGED4B
SPRR3,0,0,0,0,SPRR3
KBTBD8,1,2,2,0,KBTBD8
SLC14A1,0,0,0,0,SLC14A1
MDH1B,0,0,0,0,MDH1B
PPP1CA,0,0,1,0,PPP1CA
TNS3,0,0,1,0,TNS3
NOXRED1,2,3,2,0,NOXRED1
CAMK4,2,2,2,0,CAMK4
KAT5,2,2,0,0,KAT5
CEP70,0,0,0,0,CEP70
CD36,2,1,0,0,CD36
NIT2,2,3,3,0,NIT2
CNNM3,2,2,2,0,CNNM3
OLFM4,1,2,1,0,OLFM4
SPINK1,1,1,2,0,SPINK1
EFNB2,0,0,0,0,EFNB2
NOP10,0,0,0,0,NOP10
MSLN,1,1,1,0,MSLN
CDS2,0,0,0,0,CDS2
GFER,0,0,0,0,GFER
KIF5A,2,2,0,0,KIF5A
CRLF1,0,0,0,0,CRLF1
RBM41,2,2,2,0,RBM41
BSND,0,1,0,0,BSND
CDT1,1,2,1,0,CDT1
DMAC1,2,2,2,0,DMAC1
HSD11B2,0,0,0,0,HSD11B2
BRF2,0,0,0,0,BRF2
KLHDC10,0,0,0,0,KLHDC10
LDB2,0,0,0,0,LDB2
SPATA16,0,0,0,0,SPATA16
FKBP2,1,1,1,0,FKBP2
OAS2,2,2,1,0,OAS2
SLC41A2,0,0,0,0,SLC41A2
KIF11,0,2,1,0,KIF11
AOPEP,3,3,3,0,AOPEP
MAP3K6,2,2,1,0,MAP3K6
PTRH2,2,2,2,0,PTRH2
TMEM229B,2,2,2,0,TMEM229B
PAPPA,0,1,0,0,PAPPA
GP2,2,2,2,0,GP2
SUDS3,2,2,2,0,SUDS3
