Genes,Interactors,Norm_Symbol
GLE1,"['NUP155', 'GLE1']",GLE1
YIPF4,['YIPF3'],YIPF4
POGLUT1,['FBXO6'],POGLUT1
MRPL35,['MRPL50'],MRPL35
S100P,"['STUB1', 'S100P', 'BAG3', 'S100B', 'EZR', 'S100Z', 'S100A1']",S100P
DLGAP4,['BIN1'],DLGAP4
HOXB6,['CREBBP'],HOXB6
CDKN2A,"['CDKN2AIP', 'MCM6', 'MAPK8', 'KAT5', 'PCNA', 'COMMD1', 'CDK6', 'HNRNPU', 'CTBP2', 'HIST3H2BB', 'DAXX', 'GNL3', 'BRCA1', 'PML', 'CDKN2A', 'TRIP12', 'TRIM28', 'CCNG1', 'SLC4A1', 'SIVA1', 'ZNF420', 'EGR1', 'TP53', 'MAPK10', 'TOP1', 'BCL2L1', 'CRELD2', 'NMI', 'GMNN', 'TP63', 'CDK4', 'CDK5RAP3', 'YY1', 'BECN1', 'ZBTB17', 'MDM4', 'VHL', 'ARFIP2', 'WRN', 'UBE2I', 'GLTSCR2', 'MDM2', 'UBC', 'SERTAD1', 'E4F1', 'NPM1', 'SMARCA4', 'PSMC3', 'CCND1', 'HIF1A', 'E2F1', 'HSPA9', 'ACTG1', 'HUWE1', 'DEAF1', 'LAMTOR3', 'HDAC1', 'MYC', 'PPP1R9B', 'CCND2', 'TDRD7']",CDKN2A
MDFIC,"['CCNT1', 'CDK9']",MDFIC
XIAP,"['TCF25', 'UBE2N', 'STRADB', 'PGAM5', 'PTEN', 'BIRC2', 'CASP9', 'UBE2D3', 'COMMD1', 'DYNLL2', 'MAP3K2', 'BCL2', 'ARHGDIA', 'BIRC5', 'NOD2', 'BIRC7', 'GSK3B', 'RAC1', 'BRCA1', 'TRAF6', 'CASP7', 'WDYHV1', 'XIAP', 'TBK1', 'CASP3', 'SIVA1', 'XAF1', 'UBE2W', 'RIPK4', 'SQSTM1', 'HTRA2', 'GSPT1', 'FAF1', 'UBE2D1', 'AFP', 'RAF1', 'CHEK1', 'CASP8', 'AKT1', 'RIPK2', 'CCT2', 'AIFM1', 'TRIM32', 'DIABLO', 'UBE2D2', 'MAP3K3', 'MAGED1', 'MDM2', 'UBC', 'SERTAD1', 'ELAVL1', 'USP11', 'TCF7L2', 'SEPT4', 'E2F1', 'TLE3', 'SCARA3', 'BIRC3', 'HTRA1', 'TAB1', 'HAX1', 'MAP3K7', 'HNRNPA1', 'CASP10', 'APAF1', 'CDC42', 'UBE2E1', 'INPP5D']",XIAP
EIF4E,"['EIF4EBP1', 'KANK2', 'DCC', 'EIF4EBP3', 'EIF4EBP2', 'EIF4G1', 'STUB1', 'EIF4A1', 'TDO2', 'EIF3B', 'EIF4G3', 'TRIM27', 'BIRC2', 'EIF4ENIF1', 'PML', 'UBXN11']",EIF4E
LRRCC1,['PCM1'],LRRCC1
INSR,"['PTPRR', 'PRKCD', 'SH2B2', 'SOCS3', 'PTPN11', 'JAK2', 'IRS1', 'SHC1', 'SQSTM1', 'MARCH1', 'STUB1', 'INPPL1', 'DUSP18', 'GRB10', 'INSR', 'ENPP1', 'SMAD2', 'SH2B1', 'GRB7']",INSR
TNFSF10,"['CASP8', 'FADD', 'TNFRSF10B', 'CFLAR']",TNFSF10
SAT1,"['TCF25', 'HOXB9', 'CCDC148', 'LNX1', 'RBM17', 'SAT1']",SAT1
NDUFS8,"['NDUFS7', 'NDUFA12', 'NDUFS6', 'NDUFAF3', 'CYC1', 'NDUFS3', 'NDUFV1']",NDUFS8
CFH,['C3'],CFH
SNAP29,"['STX12', 'TRAF3', 'STX1A', 'RASSF7', 'NSF', 'EXOC1', 'EHD1', 'STX3', 'MED4', 'STX7', 'VAMP7', 'SKA1', 'EXOC4']",SNAP29
PPTC7,"['TRMT2B', 'TRMT61B', 'BNIP3']",PPTC7
