Genes,Interactors,Norm_Symbol
TROAP,"['C6orf141', 'BANP', 'FNTB', 'PPP2R3A', 'ASB3', 'SUOX', 'DCAF7', 'CDC16', 'LYPD4', 'CELA3A', 'MAPRE1', 'CCNJL', 'LZTS2', 'SIRT6']",TROAP
FSHR,"['YIPF4', 'GJA1', 'C10orf35', 'C2CD2L', 'BMPR1A', 'SLC12A7', 'PDZD8', 'ABCD4', 'GP1BB', 'ABHD6', 'DAD1', 'NAGPA', 'DNAJC18', 'EDA', 'UPK3BL', 'FAM189B', 'PPP1R15B', 'SNX14']",FSHR
GABPB1,"['GABPA', 'TPD52L2', 'TDRD7']",GABPB1
PPOX,"['CRYBA4', 'TCTN1', 'NDUFS7', 'ACSM5', 'PCDHA12', 'BPNT1']",PPOX
LGALS12,"['LIMD1', 'VPS13C', 'EMB']",LGALS12
SLC35F1,"['NPY2R', 'HTR2C', 'ATP5B', 'VIPR2']",SLC35F1
TRIP12,"['MECP2', 'BCAT1', 'EIF3I', 'OPCML', 'RP2', 'CAPN1', 'KBTBD7']",TRIP12
GNPTG,"['ZPLD1', 'SPSB3', 'GNPTAB', 'WDYHV1']",GNPTG
RGAG1,['C22orf33'],RGAG1
PSG9,"['APOL2', 'CCDC85C', 'SMAD9', 'ATP6V1E1', 'PSG1', 'ZBTB44', 'ZMYM1', 'SHCBP1', 'GLT25D2', 'PSG3', 'CELSR3', 'SECISBP2L']",PSG9
MCF2L2,"['CHRAC1', 'CDK6', 'HIC2']",MCF2L2
NR1I3,"['UBB', 'PPM1B', 'MED24', 'MED13', 'MED23', 'NCOA1', 'MED17', 'MED14', 'MED4', 'NCOA2', 'MED1']",NR1I3
DCAF4L1,"['CUL4B', 'CUL4A']",DCAF4L1
SPRR1B,['ITGA9'],SPRR1B
OGFRL1,['CDK4'],OGFRL1
DNAJB6,"['C12orf45', 'DNAJB2']",DNAJB6
STX11,"['SNAP23', 'UBR5', 'ANKHD1', 'TBK1', 'STXBP1', 'PCYT1A', 'LOH12CR1', 'KIF7', 'LRRC1', 'YKT6', 'PDZRN3', 'VAMP2', 'ANKRD17', 'PPFIA1', 'ZWINT', 'EXOC7', 'UBR4', 'VAMP4', 'EXOC4', 'STXBP5', 'REPS1', 'EXOC5', 'VTI1B', 'DISC1', 'SSFA2', 'VAMP3', 'STX6', 'CDR2', 'VAMP8', 'NDE1', 'STXBP2', 'STX10', 'GOSR1', 'RCBTB2', 'STX8', 'FKBP15', 'C3orf10', 'CCHCR1', 'EXOC6', 'PTPRS', 'HSBP1', 'SIKE1', 'ANKHD1-EIF4EBP3', 'SCNN1D']",STX11
C15orf17,"['TRMU', 'DPH2', 'SPAG9', 'ELP3', 'ELP2', 'MTCH2']",C15orf17
CDKL3,"['HSPA8', 'STAMBP']",CDKL3
ITPKC,"['AURKA', 'ERP44']",ITPKC
PRB1,['GTF2B'],PRB1
ZNF621,"['LRP4', 'CBX5', 'TRIM27', 'TRIM28', 'TRIM39']",ZNF621
SERINC2,"['GHITM', 'STOM', 'ATP6V0A1', 'TMBIM6', 'ATP6V0A2']",SERINC2
FAM45A,"['COMMD8', 'COMMD7', 'DSCR3', 'COMMD10', 'VPS29', 'COMMD4', 'ADIPOR1', 'COMMD6', 'COMMD2', 'CCDC22', 'COMMD1', 'COMMD5', 'FAM45B', 'COMMD9', 'COMMD3', 'NMT2', 'CCDC93', 'C16orf62']",FAM45A
FREM2,"['NXPH2', 'DEFA5', 'SCGB1D1', 'PCDHGB1', 'PDGFB', 'DKKL1', 'FCGR1A', 'ZBBX', 'ARNTL2', 'PSG8', 'XAGE1A', 'RPL28', 'CTSG', 'FAM19A4', 'ST8SIA4']",FREM2
MED12L,"['CDK8', 'CCNC', 'MED1', 'MED19', 'MED7', 'MED18', 'CDK19', 'MED21']",MED12L
ETV6,"['ETV7', 'NID2', 'LRP5', 'LRP6']",ETV6
FAM35A,['DEFA5'],FAM35A
SKP2,"['FAM54B', 'COPS2', 'RUVBL1', 'WDR59', 'ZNF507', 'KIAA1671', 'PHLPP1', 'CDK1', 'TRIM49', 'PRKD2', 'SENP1', 'UBB', 'TP73', 'KDM5C', 'SMTNL2', 'DPYSL4', 'CDK2', 'USP19', 'KANK2', 'FBXL18', 'GFAP', 'COPS6', 'KIRREL', 'GMNN', 'DISC1', 'IMPDH1', 'MCM8', 'OFD1', 'ALMS1', 'ATG2B', 'LRCH2', 'CDK3', 'CCDC88A', 'IMPDH2', 'TUBB3', 'CCNA2', 'PRKAR1B', 'RNF126', 'LRRC40', 'SAMD1', 'CUL1', 'FZR1', 'IQSEC1', 'TTC9C', 'CKS1B', 'STIL', 'SUGT1', 'FAM83H', 'DDX11', 'CDC20', 'DKFZp761E198', 'LRRC58', 'ANAPC1', 'STK3', 'COPS7A', 'RICTOR']",SKP2
CLNS1A,"['RBFOX2', 'RPS2', 'SNRPF', 'ADCYAP1', 'SNRPN', 'SNRPG', 'LSM6', 'EPB41L2', 'RPL15', 'SNRPE', 'DDAH2', 'GAR1', 'FARP2']",CLNS1A
UNC119,"['C12orf75', 'PDE9A', 'PSKH2', 'C5orf30', 'CCRN4L', 'RSPRY1', 'PSKH1', 'KIAA1274', 'SOLH', 'NISCH', 'PRKG2', 'FAM13A', 'PDE8A', 'LZTS1', 'NPHP3', 'LIMK2', 'GNAT2', 'FMNL2', 'RFTN1', 'UNC119B', 'ARL3', 'RNF34', 'LZTS2', 'SPDEF', 'C12orf51']",UNC119
NAA35,['FGL1'],NAA35
SHPRH,"['HIST1H4A', 'RBBP7']",SHPRH
