Genes,HSB103,HSB105,HSB107,HSB112,HSB113,HSB114,HSB118,HSB119,HSB121,HSB122,HSB123,HSB124,HSB126,HSB127,HSB130,HSB131,HSB132,HSB135,HSB136,HSB139,HSB141,HSB143,HSB145,HSB148,HSB149,HSB150,HSB153,HSB154,HSB155,HSB159,HSB171,HSB172,HSB174,HSB175,HSB178,HSB194,HSB92,HSB96,HSB97,HSB98
APEX1,127.443846,29.807192999999998,114.04366999999999,140.222972,115.74548600000001,103.193794,26.996591,33.888269,37.664566,32.390917,39.687815,31.538562,34.350096,34.263607,30.679558,23.218137,40.353345000000004,27.974887,33.888269,40.15177,38.658731,30.188685999999997,35.052841,146.01913000000002,138.63590200000002,113.500615,113.80561499999999,104.75161700000001,54.071594,84.60364399999999,39.632690000000004,42.037894,34.167034,29.859095,112.29996200000001,42.711369,81.32645600000001,115.677851,104.978867,94.006389
PRMT1,74.113886,14.387517,41.753846,94.75638599999999,70.915823,59.329756999999994,42.948654,17.444878,27.140427000000003,18.578670000000002,14.740929999999999,14.308464,17.527017999999998,19.166204,15.431616,32.649508000000004,19.393559,25.732159,17.464502,26.321749,19.653235000000002,20.020317000000002,18.147537,64.308175,76.282332,58.901593000000005,58.360791000000006,81.92459699999999,24.456296,52.70183000000001,26.698088000000002,14.322232000000001,23.387999,20.620210999999998,45.70102,27.307308000000003,49.856821999999994,80.024057,45.979876000000004,67.825817
REEP2,60.25145,46.456092,70.16806,23.452752,49.420532,52.309214000000004,47.013655,55.86492,36.918759,54.84960699999999,59.483288,58.046803000000004,54.075213,45.234035999999996,36.83376,35.025434000000004,65.65271800000001,43.383678,52.059486,55.464192000000004,38.926185,40.251652,58.421248999999996,28.201199,47.425202,56.753451,49.521542,39.866524,62.972186,46.059360999999996,52.55583299999999,46.424786,33.308596,46.444641,41.368195,39.981093,60.73644,48.580384,56.580633999999996,57.676629000000005
RUNDC3A,40.213640000000005,99.444956,33.23343,37.838007,31.934061,30.755460999999997,132.26456299999998,98.080947,60.757392,77.68239399999999,74.095499,91.14090300000001,89.815618,79.312134,77.32905699999999,85.599563,67.725388,131.44433600000002,91.661928,63.286058,101.36802,46.552438,86.85011,26.649421999999998,31.160203999999997,33.879005,28.945851,40.707541,34.902912,37.455819,109.87303899999999,52.290394,105.576675,101.506213,29.759815000000003,40.917159999999996,35.075491,44.222918,36.600054,50.259722
G3BP1,10.050094999999999,9.108342,4.781879,44.947539,11.095684,10.774152,10.178199000000001,5.992007,11.890112,4.75395,5.571923,7.354482000000001,7.482877,6.868728,7.475011,10.483523,4.947838,7.737578999999999,8.060698,5.999687000000001,9.064962,16.242826,5.459637,23.749907999999998,10.123043,9.507696000000001,9.220502,12.402008,11.340058,8.277341999999999,9.620703,10.824648,8.824057,8.263952,8.326082000000001,8.348738,6.00925,14.61333,6.894423,7.661772
CPNE9,0.380106,9.508497,0.48298800000000003,0.172475,0.45733599999999996,0.325816,11.772684,24.195539,3.048584,12.474435,15.468419,12.130675,15.005542000000002,15.146041,12.018689,4.491301999999999,5.635444000000001,15.151345999999998,7.29065,3.4934,14.345642999999999,1.748331,18.424398,0.192957,0.375652,0.280533,0.272019,0.433616,0.584757,0.7581289999999999,18.485372,4.720728,18.129002,12.893408,0.232748,0.21130900000000002,0.5221,0.104227,0.527089,0.360802
XRCC6,102.386354,58.232983999999995,76.74319799999999,130.408955,103.242441,98.898848,61.462225,64.342873,53.249561,54.986828,65.622999,52.94354499999999,66.208733,64.37303,76.13689699999999,29.211906,67.534817,71.232677,56.00715400000001,59.743076,67.266075,59.484505000000006,61.469519999999996,143.135874,105.42731699999999,89.972995,91.65232900000001,108.548953,43.765018,88.359629,91.71979499999999,62.622653,52.483754000000005,62.40626999999999,88.359629,58.79006700000001,80.21949599999999,98.22823299999999,82.229775,91.71979499999999
PRPF19,56.950922,49.935094,42.911101,71.83577199999999,67.06327399999999,52.019966,26.281093,80.363282,21.752674,50.204145000000004,81.246848,62.537181999999994,70.725622,68.504761,57.438152,19.152101000000002,45.911603,55.696652,65.984607,35.573935,37.712356,25.225826,76.026951,71.51176099999999,61.40459,41.70767,57.331141,53.227847,23.234088,39.394046,41.527304,46.993521,43.965775,54.913856,57.39625600000001,31.134527000000002,42.177561,50.301642,50.272853999999995,46.165484
DHX15,24.18109,9.300188,18.51313,30.611013,19.389684,18.695513000000002,14.166967000000001,12.057459,13.506845000000002,12.041582,13.331721,10.709191,12.164533,15.240687,11.182516,16.316589999999998,11.658847,11.630306,12.354172,11.115455,10.241888000000001,13.105609,11.499927,38.955642,26.268146999999995,17.069782,21.904741,19.343126,14.669459,18.139577,14.110864000000001,15.015754999999999,13.515597,10.356629,18.879688,16.27521,17.90356,30.743506,23.452579999999998,24.300176999999998
PREPL,27.3514,72.290474,29.552338,13.722705,27.389331,24.291125,52.862265,101.616134,23.858007,65.285638,84.566412,76.984546,96.18498699999999,90.261626,88.853174,53.668535,57.147456999999996,110.127981,58.51116700000001,47.202256,60.672447999999996,13.174376,109.12142800000001,13.591778,23.901319,24.011448,22.189760999999997,35.921531,20.598005999999998,33.41149,87.17568,38.804325,136.432145,81.18527900000001,27.198240000000002,40.969896999999996,36.2278,19.660973000000002,31.465901000000002,25.722485
SNRPN,9.614535,37.310533,8.623794,9.09267,14.585026999999998,11.739734,52.99515400000001,48.022079,19.691064,26.162697,39.50008,30.412729,38.016743,33.476506,30.724403000000002,57.85499,24.060385,46.68735,33.727196,17.860606,34.730821999999996,15.206882,38.068554999999996,7.419900999999999,12.99038,14.046207999999998,12.092275,11.786936,15.308960999999998,10.423226,37.544727,13.06587,38.170708000000005,36.284327000000005,7.830635000000001,16.09715,11.400686,14.483429000000001,12.959012,10.724308
MATK,3.160864,14.564722,4.88398,0.921053,2.39442,3.262604,37.026491,15.998548000000001,17.741715,23.247432,10.123992,15.689378,14.533316000000001,14.596103,14.631129999999999,23.136499,28.247604,29.685132,14.665147,29.70673,19.728763,13.590125,15.821461,0.68003,1.932921,4.010161,2.075191,3.286436,13.278846,6.159515,34.813675,11.820175,24.421034,20.386367,1.246903,11.150349,9.999952,4.018112,3.2471900000000002,4.610183
ILF2,104.886949,32.957436,99.052541,141.553535,116.80021599999999,100.090757,41.138233,36.732694,59.324760999999995,36.616814,46.50719,35.642024,42.314858,45.865401,38.082229999999996,42.197167,39.872069,35.776346000000004,34.329738,40.877419,33.662414,41.081725,38.355776,145.555117,131.902812,101.960789,120.680295,103.785762,58.914609,94.13967199999999,36.369192,45.786224,40.222881,35.106193,114.291253,52.831754000000004,80.79803299999999,124.41108999999999,119.46891200000002,108.364426
SUPT16H,36.574825,16.754896,37.484744,61.087481000000004,39.799440999999995,40.101576,11.998631,19.499206,13.993567,17.701658,17.552405,17.463057,21.115362,20.103457000000002,21.962024,18.234006,24.033804999999997,15.040325,20.390188000000002,19.923946,14.425598999999998,13.677283,18.838687,60.594970999999994,35.394348,35.231395,35.325672999999995,39.30709,18.951752,32.445002,19.148626,16.605547,17.516666,20.216877,40.011990999999995,25.644266000000002,36.374736999999996,38.985699,34.918175,37.744445
KHDRBS1,121.837419,37.710815999999994,104.612578,113.036851,132.059565,128.31051599999998,21.563933,33.846965000000004,42.629208,40.608875,32.425768,41.639765000000004,36.404497,30.009486,37.886192,52.908822,49.689659000000006,27.192532,37.875521,54.054587,24.57672,33.804743,34.348112,131.878683,111.28700500000001,128.31051599999998,120.840724,104.36529,55.397124,107.407017,40.485815,46.724565999999996,27.424302,31.101792,127.928743,49.99955,93.149215,97.488364,104.119378,88.51847
TMPO,32.051221999999996,4.129903,7.770316,60.654278000000005,21.054202,11.593979,7.472017999999999,4.486253,6.150247,3.072584,4.150523000000001,3.95577,5.985422,4.337658,5.44859,7.104317999999999,2.850494,10.681396000000001,3.711096,4.067428,5.278085,8.810194000000001,5.117525,64.513812,24.286243,21.785351000000002,17.541166,14.556291,17.820643,12.642152000000001,4.404051,3.7713660000000004,4.3369860000000005,4.251535,14.080229000000001,7.191555,6.529780000000001,21.795431,11.509030000000001,11.452535000000001
SLC25A6,0.070737,0.013803,0.028870999999999997,0.056965999999999996,0.077315,0.058748,0.008494,0.021946,0.009216,0.013119,0.018449,0.015352000000000001,0.022369,0.014813999999999999,0.041336000000000005,0.019181,0.020099000000000002,0.011041,0.014836000000000002,0.01251,0.013119,0.012731999999999999,0.020436000000000003,0.037965,0.040361,0.098066,0.035169,0.046425,0.021391999999999998,0.018449,0.015327,0.015327,0.006940000000000001,0.022843000000000002,0.021869,0.007564,0.023375,0.016926,0.020099000000000002,0.011611
SLC25A6,0.070737,0.013803,0.028870999999999997,0.056965999999999996,0.077315,0.058748,0.008494,0.021946,0.009216,0.013119,0.018449,0.015352000000000001,0.022369,0.014813999999999999,0.041336000000000005,0.019181,0.020099000000000002,0.011041,0.014836000000000002,0.01251,0.013119,0.012731999999999999,0.020436000000000003,0.037965,0.040361,0.098066,0.035169,0.046425,0.021391999999999998,0.018449,0.015327,0.015327,0.006940000000000001,0.022843000000000002,0.021869,0.007564,0.023375,0.016926,0.020099000000000002,0.011611
SRSF1,53.179311,28.081584000000003,56.551097,98.41251199999999,50.184121999999995,45.188903,14.76711,27.042813,28.455786,25.37327,27.707748,26.737340000000003,27.58199,23.506332999999998,25.6124,19.155559,32.59151,19.027326000000002,34.275715999999996,27.098198999999997,18.877807999999998,32.416216,28.781051,82.44238299999999,51.940543,52.943274,54.514699,44.44699,53.089344,42.196047,29.057501000000002,38.026034,31.294846999999997,24.93415,56.653964,17.237068,35.371181,53.040783,41.340356,40.470284
RAI14,21.31381,2.3012259999999998,5.587238,18.164551,28.080156,13.218314000000001,1.8948770000000001,0.999825,4.533083,1.547199,1.556391,1.256514,1.267717,1.260549,1.364723,2.8001009999999997,2.6976,1.256074,2.1197340000000002,2.325965,1.333615,6.599384,0.714761,27.219419,26.571076,14.222671,21.964105,8.470214,6.897983,4.641394999999999,2.274257,4.014991,1.021839,0.991976,13.594564000000002,3.964235,4.387581,14.236016000000001,7.4404330000000005,6.273287
