Location,Symbol
SynDB_Pre,LRRC47
SynDB_Pre,KCNAB2
SynDB_Pre,VAMP3
SynDB_Pre,ENO1
SynDB_Pre,PINK1
SynDB_Pre,ALPL
SynDB_Pre,RUNX3
SynDB_Pre,EPB41
SynDB_Pre,DEM1
SynDB_Pre,UQCRH
SynDB_Pre,EPS15
SynDB_Pre,DNAJC6
SynDB_Pre,GNAI3
SynDB_Pre,KCNA3
SynDB_Pre,ATP5F1
SynDB_Pre,ATP1A1
SynDB_Pre,SV2A
SynDB_Pre,HORMAD1
SynDB_Pre,S100A13
SynDB_Pre,S100A1
SynDB_Pre,ATP1A2
SynDB_Pre,NDUFS2
SynDB_Pre,MGST3
SynDB_Pre,ATP1B1
SynDB_Pre,TNR
SynDB_Pre,RASAL2
SynDB_Pre,GLUL
SynDB_Pre,ASPM
SynDB_Pre,CSRP1
SynDB_Pre,SYT2
SynDB_Pre,PPFIA4
SynDB_Pre,NFASC
SynDB_Pre,SERTAD4
SynDB_Pre,ARF1
SynDB_Pre,ACTA1
SynDB_Pre,ACTN2
SynDB_Pre,FH
SynDB_Pre,YWHAQ
SynDB_Pre,HPCAL1
SynDB_Pre,VSNL1
SynDB_Pre,GDF7
SynDB_Pre,HADHB
SynDB_Pre,MAPRE3
SynDB_Pre,EHD3
SynDB_Pre,NRXN1
SynDB_Pre,SPTBN1
SynDB_Pre,RTN4
SynDB_Pre,RAB1A
SynDB_Pre,AAK1
SynDB_Pre,ATP6V1B1
SynDB_Pre,ACTG2
SynDB_Pre,IMMT
SynDB_Pre,DPP4
SynDB_Pre,SCN2A
SynDB_Pre,SCN1A
SynDB_Pre,SLC25A12
SynDB_Pre,ADAM23
SynDB_Pre,MAP2
SynDB_Pre,ARPC2
SynDB_Pre,WNT10A
SynDB_Pre,NDUFA10
SynDB_Pre,IL5RA
SynDB_Pre,ARPC4
SynDB_Pre,SLC6A1
SynDB_Pre,SYN2
SynDB_Pre,DYNC1LI1
SynDB_Pre,CTNNB1
SynDB_Pre,UQCRC1
SynDB_Pre,BSN
SynDB_Pre,GNAI2
SynDB_Pre,TKT
SynDB_Pre,ERC2
SynDB_Pre,PDHB
SynDB_Pre,ATP6V1A
SynDB_Pre,NDUFB4
SynDB_Pre,ALDH1L1
SynDB_Pre,KCNAB1
SynDB_Pre,AP2M1
SynDB_Pre,OPA1
SynDB_Pre,DLG1
SynDB_Pre,GAK
SynDB_Pre,CTBP1
SynDB_Pre,ADD1
SynDB_Pre,SLC4A4
SynDB_Pre,SNCA
SynDB_Pre,PPP3CA
SynDB_Pre,ANK2
SynDB_Pre,ANXA5
SynDB_Pre,SLC25A4
SynDB_Pre,GOLPH3
SynDB_Pre,RAB3C
SynDB_Pre,SNCAIP
SynDB_Pre,ACSL6
SynDB_Pre,VDAC1
SynDB_Pre,PPP2CA
SynDB_Pre,NDUFA2
SynDB_Pre,CAMK2A
SynDB_Pre,ANXA6
SynDB_Pre,CPLX2
SynDB_Pre,CANX
SynDB_Pre,TUBB2A
SynDB_Pre,SOX4
SynDB_Pre,DDR1
SynDB_Pre,HSPA1B
SynDB_Pre,PACSIN1
