"gene_name","gene_id"
"AADACL1",57552
"AAK1",22848
"ABHD12",26090
"ABI1",10006
"ABI2",10152
"ABLIM1",3983
"ACSL1",2180
"ACSL3",2181
"ACTB",60
"ACTG1",71
"ACTN1",87
"ACTR2",10097
"ACTR3",10096
"ADAM22",53616
"ADAM23",8745
"ADCY1",107
"ADCY2",108
"ADCY3",109
"ADCY4",196883
"ADCY5",111
"ADCY8",114
"ADCY9",115
"ADD1",118
"ADD2",119
"ADD3",120
"ADORA1",134
"ADORA2A",135
"ADRA1A",148
"ADRA2A",150
"ADRB2",154
"ADRB3",155
"AGAP2",116986
"AGK",55750
"AGRN",375790
"AHSA1",10598
"ALCAM",214
"ALG2",85365
"AMPH",273
"ANK2",287
"ANK3",288
"ANXA1",301
"ANXA11",311
"ANXA2",302
"ANXA5",308
"ANXA6",309
"ANXA7",310
"AP1B1",162
"AP1M1",8907
"AP1M2",10053
"AP2A1",160
"AP2A2",161
"AP2B1",163
"AP2M1",1173
"AP2S1",1175
"AP3D1",8943
"AP3M2",10947
"AP3S2",10239
"APBA1",320
"APBA2",321
"APBA3",9546
"APH1A",51107
"APH1B",83464
"APOE",348
"APP",351
"APPBP2",10513
"AQP4",361
"ARF4",378
"ARFGAP1",55738
"ARFIP2",23647
"ARHGAP1",392
"ARHGDIA",396
"ARL6IP5",10550
"ARL8B",55207
"ARPC1A",10552
"ARPC3",10094
"ARPC4",10093
"ARPC5",10092
"ASTN1",460
"ATCAY",85300
"ATM",472
"ATP1A1",476
"ATP1A2",477
"ATP1A3",478
"ATP1B1",481
"ATP1B2",482
"ATP2A2",488
"ATP2B1",490
"ATP2B2",491
"ATP2B3",492
"ATP2B4",493
"ATP6AP1",537
"ATP6V0A1",535
"ATP6V0C",527
"ATP6V0D1",9114
"ATP6V1A",523
"ATP6V1B1",525
"ATP6V1B2",526
"ATP6V1C1",528
"ATP6V1D",51382
"ATP6V1E1",529
"ATP6V1F",9296
"ATP6V1G2",534
"ATP6V1H",51606
"ATP8A1",10396
"AVP",551
"BAI3",577
"BAIAP2",10458
"BASP1",10409
"BCAN",63827
"BCAP31",10134
"BCAS1",8537
"BDNF",627
"BEGAIN",57596
"BRSK1",84446
"BSG",682
"BSN",8927
"BZRAP1",9256
"C10orf58",84293
"C1orf142",116841
"C1QBP",708
"C2orf55",343990
"C6orf174",387104
"C9orf126",286205
"CA2",760
"CACNA1A",773
"CACNA1B",774
"CACNA1C",775
"CACNA1D",776
"CACNA1E",777
"CACNA1F",778
"CACNA2D1",781
"CACNA2D2",9254
"CACNA2D3",55799
"CACNA2D4",93589
"CACNB1",782
"CACNB3",784
"CACNB4",785
"CACNG2",10369
"CACNG3",10368
"CACNG4",27092
"CACNG5",27091
"CACNG8",59283
"CADM1",23705
"CADM2",253559
"CADM4",199731
"CADPS",8618
"CALM1",801
"CALM2",805
"CALM3",808
"CALML3",810
"CALML4",91860
"CALR",811
"CAMK1",8536
"CAMK1D",57118
"CAMK1G",57172
"CAMK2A",815
"CAMK2B",816
"CAMK2D",817
"CAMK2G",818
"CAMK2N1",55450
"CAMK4",814
"CAND1",55832
"CANX",821
"CAP1",10487
"CAP2",10486
"CAPN5",726
"CAPZA2",830
"CAPZB",832
"CASK",8573
"CASKIN1",57524
"CASKIN2",57513
"CCK",885
"CCT2",10576
"CCT3",7203
"CCT4",10575
"CCT6A",908
"CCT7",10574
"CCT8",10694
"CD200",4345
"CD47",961
"CDC42",998
"CDH1",999
