,Cell_Lines
0,HL-60
1,TIME
2,ASC TERT1
3,BJ hTERT+ SV40 Large T+
4,BJ hTERT+ SV40 Large T+ RasG12V
5,REH
6,NTERA-2
7,HaCaT
8,HMC-1
9,HeLa
10,U-937
11,NB-4
12,SCLC-21H
13,U-2 OS
14,CACO-2
15,Hep G2
16,RH-30
17,RPTEC TERT1
18,U-698
19,BJ
20,K-562
21,SiHa
22,MCF7
23,RPMI-8226
24,HTCEpi
25,HUVEC TERT2
26,A549
27,U-266/70
28,WM-115
29,U-266/84
30,CAPAN-2
31,T-47d
32,RT4
33,HEL
34,HEK 293
35,SK-BR-3
36,MOLT-4
37,SK-MEL-30
38,Karpas-707
39,Daudi
40,HDLM-2
41,AN3-CA
42,A-431
43,THP-1
44,U-2197
45,LHCN-M2
46,PC-3
47,BJ hTERT+
48,EFO-21
