,Cell_Line,Fold_Change,SEM,Significance,Corr_Significance
0,HL-60,6.5242694861616135,0.6755679975637421,0.0,0.0
1,TIME,4.9591206365584215,0.46714450248938266,0.0,0.0
2,ASC TERT1,5.518899161292954,0.7619082890279301,0.0,0.0
3,BJ hTERT+ SV40 Large T+,5.634006018427009,0.5085522732263968,0.0,0.0
4,BJ hTERT+ SV40 Large T+ RasG12V,4.984178827614455,0.456402137703464,0.0,0.0
5,REH,5.50334859691745,0.5419362263172027,0.0,0.0
6,NTERA-2,7.02751716526039,0.6967558367966811,0.0,0.0
7,HaCaT,4.819263812636375,0.39222903770072204,0.0,0.0
8,HMC-1,3.4733365186198952,0.30003860930015425,0.0,0.0
9,HeLa,5.511308748758888,0.4852758461125388,0.0,0.0
10,U-937,6.1359465397161745,0.6074298800476226,0.0,0.0
11,NB-4,7.106890927188401,0.8053993578012916,0.0,0.0
12,SCLC-21H,5.785681684381366,0.4904880128470072,0.0,0.0
13,U-2 OS,5.41866034866735,0.45804748268920065,0.0,0.0
14,CACO-2,5.993422069757284,0.561884672971111,0.0,0.0
15,Hep G2,3.7079072949324754,0.34519645799865195,0.0,0.0
16,RH-30,4.61228366131795,0.4832803507957722,0.0,0.0
17,RPTEC TERT1,6.017510768798486,0.5891470495976185,0.0,0.0
18,U-698,5.566142715402462,0.5315335767512893,0.0,0.0
19,BJ,3.9976922726761233,0.3414141570486287,0.0,0.0
20,K-562,5.707221056142172,0.5774834514019154,0.0,0.0
21,SiHa,3.880450662622094,0.2859539966349849,0.0,0.0
22,MCF7,7.313398890245549,0.7495421603400507,0.0,0.0
23,RPMI-8226,6.595405614361833,0.7854909674946322,0.0,0.0
24,HTCEpi,8.715244599850324,1.09001660627159,0.0,0.0
25,HUVEC TERT2,5.899490686524733,0.5774341142877494,0.0,0.0
26,A549,4.729983074387162,0.4461276173868287,0.0,0.0
27,U-266/70,5.124769827107112,0.5199146792833857,0.0,0.0
28,WM-115,4.477902922739571,0.3857602801699877,0.0,0.0
29,U-266/84,5.826486570931638,0.552708325017595,0.0,0.0
30,CAPAN-2,4.457441829066715,0.37988439646198,0.0,0.0
31,T-47d,5.28857161137411,0.46194993461870376,0.0,0.0
32,RT4,5.72833448927924,0.559350276344002,0.0,0.0
33,HEL,5.150382777795431,0.4505486394935757,0.0,0.0
34,HEK 293,7.692098015198988,0.7841058497596539,0.0,0.0
35,SK-BR-3,7.84797002017521,1.1836622609850167,0.0,0.0
36,MOLT-4,5.659577365073368,0.5204660904490299,0.0,0.0
37,SK-MEL-30,6.909981372593584,0.7214328735962116,0.0,0.0
38,Karpas-707,4.569173631796172,0.40338473241700107,0.0,0.0
39,Daudi,7.280460135730256,0.8386846481284896,0.0,0.0
40,HDLM-2,3.9781418336430394,0.33163781913887813,0.0,0.0
41,AN3-CA,5.906036268573031,0.6019334234101703,0.0,0.0
42,A-431,5.18498609787446,0.4331104794880494,0.0,0.0
43,THP-1,7.584442818703896,0.9322717560371113,0.0,0.0
44,U-2197,4.251952523604916,0.3708634349377364,0.0,0.0
45,LHCN-M2,4.977046942570993,0.4842699369489279,0.0,0.0
46,PC-3,5.602922006518841,0.48129643015047374,0.0,0.0
47,BJ hTERT+,4.417971342248976,0.5080980033155695,0.0,0.0
48,EFO-21,5.130809524521043,0.4794598226343314,0.0,0.0
