,genes
0,RBM3
1,SLU7
2,GPT2
3,RILPL2
4,FANCD2
5,PMPCB
6,ADH1B
7,NOX4
8,SRP14
9,LMAN2
10,TOX
11,BCCIP
12,SLCO1C1
13,CASP3
14,DDX3X
15,PKD2
16,CCAR2
17,SPC25
18,BUB1B
19,GPR89A
20,GTF2E2
21,INSM1
22,SMG8
23,PNMT
24,TSTA3
25,RPL21
26,RAD54B
27,PPP1R3B
28,OVOL2
29,PCYT2
30,HR
31,OR14I1
32,RER1
33,ALG13
34,TLK2
35,TET3
36,KDM2A
37,TUBB4A
38,SMARCA1
39,MAML3
40,BAIAP2L1
41,GTF2IRD2B
42,MAK
43,REST
44,ZNF623
45,RASSF2
46,SRSF3
47,ETAA1
48,TFAP2D
49,STAMBP
50,SPAG1
51,TXLNG
52,RIF1
53,ACIN1
54,RPP40
55,BHLHE40
56,GPR142
57,TCF21
58,SRSF6
59,ERP29
60,PLXNB2
61,TNFRSF19
62,SETD5
63,SETDB2
64,CD7
65,IRAK3
66,PTPRCAP
67,ALKBH2
68,MAN2A1
69,EPN1
70,DHRS3
71,LCMT2
72,RNPEP
73,PRKAA2
74,WDR81
75,TMEM30B
76,SLC44A3
77,TNFSF12
78,MEX3C
79,ATP11B
80,CCNF
81,NOL6
82,PPP2R5B
83,SMARCA5
84,BRPF3
85,HMGN4
86,PLOD1
87,CNOT11
88,MED13
89,ZNF404
90,NDUFAF7
91,ROS1
92,ZNF616
93,ARL14EP
94,NEDD9
95,RGS19
96,RAB36
97,ESAM
98,PAFAH1B3
99,TRIM13
100,PIK3AP1
101,MTHFS
102,RBM17
103,PTGER4
104,ITPRIP
105,STYXL1
106,CLN5
107,ALAD
108,CISD2
109,B3GALT4
110,FANCL
111,JPH3
112,RIPK1
113,DEFA6
114,ABCA1
115,IPP
116,PSRC1
117,MLYCD
118,SEMA4A
119,EGLN3
120,NT5C3A
121,MAP2K7
122,LGALS1
123,CDC5L
124,FOXS1
125,SP2
126,RGS3
127,POTEF
128,SMARCD3
129,GALNTL5
130,COL6A1
131,NLRX1
132,SMAD9
133,TMTC1
134,KRT18
135,COMMD5
136,PIK3R5
137,ME2
138,TNFRSF1B
139,GMPS
140,EIF1
141,RILP
