,genes
0,AAK1
1,SPTBN2
2,ACTR2
3,SYT5
4,SH3GL2
5,MYO5A
6,SLC32A1
7,GDI2
8,KCNA2
9,SYNGR2
10,BCAN
11,CANX
12,DLG4
13,VAMP3
14,PRKAR2B
15,GRIA4
16,DLGAP1
17,SYN3
18,ATP2B4
19,HPCA
20,YWHAG
21,ADD1
22,SLC6A17
23,ATP2A2
24,PURA
25,SYT7
26,CNTN2
27,CHAT
28,MPP2
29,GAP43
30,DBN1
31,RPS3A
32,EXOC4
33,TUBA1A
34,SLC18A2
35,RAB3GAP1
36,PCLO
37,KCNA1
38,PKP4
39,PIP5K1C
40,GRIA2
41,DNM1
42,WDR7
43,STX12
44,LRRC7
45,BSN
46,ANK3
47,PEBP1
48,FLOT1
49,SNAP91
50,HTT
51,NLGN2
52,OLFM1
53,DNAJC6
54,SYT2
55,C1QBP
56,PPP3CB
57,MAPT
58,NRXN1
59,ANK2
60,GRM1
61,AGRN
62,SYT12
63,DNM2
64,ATP2B2
65,NAPA
66,EPHA4
67,RAB8B
68,KIF1A
69,DCLK1
70,PPFIA1
71,KCTD16
72,SHANK2
73,DLG3
74,HRAS
75,PFN1
76,YWHAQ
77,ACTB
78,ATP1A2
79,DBNL
80,VAMP1
81,SYNGR3
82,DNAJC5
83,CTBP1
84,GSK3B
85,ADD3
86,TNR
87,STXBP1
88,PPP3CA
89,AP3D1
90,SYN1
91,ADAM22
92,VTI1A
93,VPS45
94,PPFIA3
95,SPTBN1
96,TLN2
97,DLG2
98,GNG3
99,CACNG3
100,SLC6A1
101,HSPA8
102,SYP
103,MYH10
104,RHOA
105,KCNAB2
106,NPTN
107,GNB5
108,PRKCG
109,MAPK1
110,DLGAP2
111,CTNND2
112,SNAP25
113,STX4
114,GABBR2
115,CAMK2A
116,CDH13
117,SCN2A
118,RAB15
119,ATP6V0D1
120,LRRTM1
121,STX6
122,CNTN1
123,RAB3A
124,MAPK8IP1
125,CAMK2B
126,RIMS1
127,RAC1
128,DMXL2
129,NF1
130,NRGN
131,GRM7
132,CADPS
133,FLOT2
134,KCNMA1
135,ERC2
136,GRIN2A
137,PFN2
138,CDH10
139,PPFIA2
140,KCTD12
141,PRKAR1A
142,RAB18
143,NLGN1
144,RAB3C
145,INA
146,RAB5C
147,STX16
148,DOC2A
149,PPP2R1A
150,GPM6A
151,AMPH
152,GRM3
153,SYNJ2
154,DLGAP3
155,CORO1A
156,VDAC1
157,GRIK2
158,DPYSL3
159,SNCA
160,CDC42
161,CDH2
162,STXBP5
163,RIMS2
164,RTN3
165,GABRA4
166,GOT1
167,RPH3A
168,MINK1
169,CNTNAP1
170,ATP6V1B1
171,RAB10
172,YWHAZ
173,GABBR1
174,CPLX2
175,VAMP2
176,RAB6B
177,UNC13A
178,GRIA1
179,STX1A
180,DLG1
181,NAPG
182,RAPGEF4
183,CASK
184,PRKACA
185,EEF2
186,GIT1
187,NSF
188,RAB5A
189,YWHAH
190,STX7
191,NTRK2
192,ATP1A1
193,SYNJ1
194,PPFIA4
195,RAB21
196,ACTG1
197,ANXA1
198,AP2B1
199,ABI2
200,RTN4
201,RABAC1
202,RAB3D
203,GABRA1
204,ATP2B1
205,NRXN2
206,GRIN2B
207,ATP2B3
208,RIMBP2
209,ATP1A3
210,MAP1B
211,SLC1A2
212,CTNNB1
213,WASF1
214,TUBB2B
215,STXBP3
216,SV2C
217,PLCB1
218,ERC1
219,PALM
220,DYNLL2
221,ABI1
222,ADAM23
223,RPS18
224,ADD2
225,CTNNA2
226,PTPRS
227,PSD3
228,SYT1
229,PACSIN1
230,CTTN
231,STX1B
232,CSPG5
233,CTNND1
234,SV2A
235,PICALM
236,GRM5
237,SV2B
238,GRIN1
239,YWHAE
240,PPP3CC
241,DNM1L
242,CAP2
243,EXOC3
244,RAB35
245,ACTN1
246,DNM3
247,MAP2
248,APOE
249,PDE2A
250,LIN7A
251,EPB41L3
252,EEF1A2
253,VCP
254,KIF5C
