,Gene1,Gene2,ytest,ypredict
0,SYNGR2,SYN1,7.473931299999999,3.9372309165999986
1,SYNGR2,GABBR2,4.355375,4.27476138
2,SYNGR2,KCNAB2,5.295128,3.7470817375999985
3,SYNGR2,PPFIA3,5.295128,3.611421192400002
4,SYNGR2,DNAJC5,7.980891000000001,3.4524948647000007
5,SYNGR2,NRXN1,5.295128,4.23036046
6,SYNGR2,CADPS,5.295128,4.515983212999998
7,SYNGR2,CAMK2A,4.65139,4.036020387000001
8,SYNGR2,RAB15,6.6214886,3.979758754
9,SYNGR2,STXBP3,5.295128,4.382999237300001
10,SYNGR2,NLGN2,5.295128,4.000382856799998
11,SYNGR2,GRIA2,4.65139,4.8363912107
12,SYNGR2,PRKAR2B,4.355375,3.9176324989999984
13,SYNGR2,CHAT,5.295128,3.5510996372
14,SYNGR2,CNTNAP1,5.295128,4.213725864999998
15,SYNGR2,DPYSL3,6.5008984000000005,4.322570765
16,SYNGR2,SNAP91,6.6214886,4.670178489000001
17,SYNGR2,RTN4,5.5077195,5.456058917
18,SYNGR2,PPFIA1,5.295128,4.0952135682
19,SYNGR2,YWHAH,5.295128,4.059587172800001
20,SYNGR2,STX12,7.473931299999999,5.0693193373000005
21,SYNGR2,KCNA2,5.295128,4.125753729999999
22,SYNGR2,GRIA4,4.65139,4.365995251
23,SYNGR2,DLGAP3,7.980891000000001,3.7606586067999994
24,SYNGR2,PTPRS,7.473931299999999,4.2262824654000015
25,SYNGR2,EPHA4,7.980891000000001,4.1276492321
26,SYNGR2,VAMP2,7.473931299999999,4.525234812
27,SYNGR2,PPFIA2,5.295128,4.9773642983999995
28,SYNGR2,VPS45,6.6214886,3.689140536
29,SYNGR2,WDR7,6.6214886,4.440655301199999
30,SYNGR2,SYT2,7.473931299999999,3.4686468233999994
31,SYNGR2,DLG3,7.980891000000001,3.2924241904
32,SYNGR2,GRM3,5.295128,3.919258817400001
33,SYNGR2,PPP3CC,5.295128,3.2576585003999994
34,SYNGR2,OLFM1,4.0279202000000005,4.423119038000001
35,SYNGR2,CTTN,4.427919,3.1343553801999997
36,SYNGR2,ADD1,4.355375,3.4561261474000005
37,SYNGR2,MAPK8IP1,4.0279202000000005,4.035504345
38,SYNGR2,GABBR1,5.295128,4.457905376000001
39,SYNGR2,WASF1,4.355375,4.2862379433
40,SYNGR2,RBM7,1.0557662,3.6690583813
41,SYNGR2,OTUD5,0.99415094,3.4349749650999994
42,SYNGR2,B9D1,2.1871595,4.293027205
43,SYNGR2,TUB,3.1851077,3.417766489399999
44,SYNGR2,GALNT1,3.215496,3.8399497137000016
45,SYNGR2,GAS6,4.5976415,4.3784367774
46,SYNGR2,APOA1,4.5976415,4.815950398300001
47,SYNGR2,PLEKHA4,1.0244004,3.3452700525999988
48,SYNGR2,TCTE1,2.1871595,3.2762799207000004
49,SYNGR2,KRT72,3.1823769,3.3904798077000002
50,SYNGR2,ZIC4,0.6318136999999999,2.7403531628999995
51,SYNGR2,RALB,4.407045,3.4897121002000002
52,SYNGR2,MCMBP,2.1871595,3.7133251999999994
53,SYNGR2,MAP3K13,1.6042516000000002,3.7700372117000005
54,SYNGR2,GBP1,4.61227,3.4865213465999987
55,SYNGR2,POLR2J3,1.0557662,2.762375601
56,SYNGR2,PANK1,0.99415094,3.466893064399999
57,SYNGR2,EIF3H,3.1823769,3.4847367386999992
58,SYNGR2,SGMS1,3.215496,4.415125493299997
59,SYNGR2,HTATIP2,2.1098776000000004,3.0801847218000007
60,SYNGR2,SPDEF,0.6318136999999999,3.1307309821999985
61,SYNGR2,ZXDB,0.6318136999999999,3.1718644192999994
62,SYNGR2,BRWD3,1.6042516000000002,3.6829804993999993
63,SYNGR2,ITGA7,1.8584037,3.8775260030000003
64,SYNGR2,WNT4,4.65139,3.036661269799999
65,SYNGR2,SH3BGRL,3.1823769,3.3137065641999985
66,SYNGR2,SLC38A2,3.6723127,3.2637929305818187
67,SYNGR2,PCBP4,0.99415094,3.2658539976999985
68,SYNGR2,OR6B1,1.8584037,2.2319225256
69,SYNGR2,DHX58,0.7407275,3.300373880999999
70,SYNGR2,BICD2,3.5327205999999998,3.4210681654
71,SYNGR2,DNAJC16,1.8584037,3.449760949600001
72,SYNGR2,EEF1E1,2.1871595,3.776961112499998
73,SYNGR2,ACOT1,0.99415094,2.5168438060999994
74,SYNGR2,POLR3A,1.0557662,3.8097603572999996
75,SYNGR2,PLCXD1,0.7407275,3.0245032097999998
76,SYNGR2,AMER3,1.0244004,3.381924362499999
77,SYNGR2,SSTR4,3.5475802000000005,3.765184495899999
78,SYNGR2,TGFB2,5.5077195,3.6566588220999994
79,SYNGR2,FLG,2.4499202,4.366870256999999
80,GNG3,SYN1,6.029146,5.649022930000001
81,GNG3,GABBR2,5.0588937000000005,6.070644741999998
82,GNG3,KCNAB2,7.736965700000001,6.163916455000001
83,GNG3,PPFIA3,4.355375,5.496339196
84,GNG3,DNAJC5,4.355375,4.940119209
85,GNG3,NRXN1,5.0969615,7.0869977440000005
86,GNG3,CADPS,4.355375,6.082503098999998
87,GNG3,CAMK2A,5.9068904,5.104188953999998
88,GNG3,RAB15,5.9068904,5.528051649999998
89,GNG3,STXBP3,4.5958233,5.467888416399998
90,GNG3,NLGN2,5.802554,3.1162064426999994
91,GNG3,GRIA2,5.9068904,5.704620168999998
92,GNG3,PRKAR2B,5.853779299999999,6.6793462649999995
93,GNG3,CHAT,4.355375,3.842725126699997
94,GNG3,CNTNAP1,5.0588937000000005,5.9322602979999965
95,GNG3,DPYSL3,5.0969615,3.5657912369
96,GNG3,SNAP91,6.8624964,5.211583446300001
97,GNG3,RTN4,5.9068904,5.704090010299998
98,GNG3,PPFIA1,4.355375,4.609296056999998
99,GNG3,YWHAH,4.355375,5.390592451
100,GNG3,STX12,4.966724,5.110682204999998
101,GNG3,KCNA2,5.0969615,5.9100671156999995
