,genes
0,STYX
1,BDKRB1
2,EMILIN3
3,UBA3
4,SLC2A14
5,ZFP36
6,CNBP
7,LRRC32
8,SNRPC
9,POLR2I
10,RAD50
11,SLCO3A1
12,ARHGEF1
13,ZFP62
14,CCDC40
15,PRX
16,SEMA6C
17,EML2
18,CCNJ
19,SUGCT
20,PPP1R1A
21,BNC1
22,CENPI
23,PANK4
24,EBNA1BP2
25,SLC9C1
26,FILIP1
27,U2SURP
28,CDO1
29,ANKZF1
30,SAMHD1
31,HSD11B2
32,RNF138
33,MYH7B
34,TST
35,FLAD1
36,TRIM27
37,RNF20
38,HLCS
39,KIAA0586
40,NAA38
41,PSME2
42,UBE2M
43,PLCH1
44,QRFPR
45,RAB17
46,SLAMF1
47,PPIG
48,HOXB6
49,GPX2
50,GALNT4
51,STAB1
52,MBD1
53,KCNN3
54,GSDMA
55,HMGCS1
56,NFATC1
57,TCTE1
58,ACVR1B
59,RUSC2
60,RCCD1
61,BMP1
62,TNPO2
63,PRDM16
64,BBS9
65,PDIA4
66,NLRP9
67,IFIH1
68,CEP78
69,SURF6
70,EP300
71,MAPK13
72,SLC43A1
73,DDX56
74,SLC7A8
75,CD320
76,KCNG1
77,FKBP8
78,DCAF5
79,HLX
80,GNL3L
81,SLC41A1
82,ACSS2
83,PEX26
84,PLVAP
85,ADAM8
86,ABHD5
87,CANT1
88,KLF9
89,CSTB
90,ADI1
91,TMTC1
92,SLC45A2
93,ADO
94,NEK9
95,SLC35A5
96,CD80
97,ZNF516
98,PLIN2
99,POLR3A
100,XRCC2
101,ITGB3BP
102,GTF2H1
103,SOAT1
104,MAPK12
105,TMX2
106,RHOQ
107,ITM2A
108,RSPH9
109,RAD54L2
110,DCAF15
111,FAM53B
112,SMG1
113,S100A11
114,LNX1
115,BMF
116,ALG13
117,SEC62
118,GPT2
119,ADRA1B
120,IFT81
121,KDM4B
122,HS1BP3
123,IL17RA
124,ZDHHC13
125,APOBEC3C
126,ADAP2
127,CBS
128,RAD9B
129,AQP7
130,KIF22
131,SDC4
132,RGS22
133,UBN1
134,CHST6
135,RPP25
136,CTPS2
137,CENPM
138,UBE2Q1
139,KIF20A
140,ZNF706
141,PCDH12
142,LARP4B
143,ERG
144,NSD1
145,SART1
146,SEPSECS
147,CNOT7
148,BCL2L11
149,CMTR2
150,AOC3
151,GLB1L
152,UNKL
153,TACO1
154,UBE2A
155,DXO
156,KRTAP19-7
157,TBC1D15
158,MTR
159,AKT1S1
160,MYBBP1A
161,MEMO1
162,OCRL
163,ZNF644
164,PBRM1
165,ESYT1
166,IRX1
167,PPARG
168,FRG1
169,PDE7B
170,VIL1
171,AP4S1
172,JRKL
173,FABP1
174,DEGS1
175,GRB14
176,HIPK1
177,SLC16A5
178,MZT1
179,GPR39
180,ELF4
181,ZNF69
182,UPP2
183,ABCG1
184,ITGB6
185,IGFBP3
186,CD3G
187,HBE1
188,HLA-DRB1
189,OGG1
190,BHLHE23
191,S100A5
192,TMIGD2
193,ARPP21
194,ZFP91
195,RORC
196,MRTO4
197,PYROXD1
198,ATP6V0A4
199,TNNI1
