,genes
0,GRIA1
1,DBN1
2,CAP2
3,CDC42
4,RAB3C
5,LRRTM1
6,PRKACA
7,CADPS
8,DNM2
9,LIN7A
10,RIMBP2
11,AAK1
12,VTI1A
13,PURA
14,PALM
15,DLGAP1
16,SLC18A2
17,RAB3A
18,ATP6V1B1
19,SYT1
20,CDH2
21,EPHA4
22,GRM5
23,SYT7
24,ADAM23
25,RAB18
26,CAMK2A
27,STX1B
28,RTN3
29,PKP4
30,SHANK2
31,PPFIA1
32,SYP
33,RAB5C
34,AP3D1
35,GPM6A
36,NRGN
37,SYN1
38,YWHAG
39,DNAJC5
40,VAMP2
41,RAB5A
42,RAB10
43,ABI2
44,NTRK2
45,SPTBN1
46,RPS18
47,RABAC1
48,SNCA
49,CAMK2B
50,GOT1
51,ACTB
52,SLC32A1
53,ADD1
54,SNAP91
55,CTNND2
56,GRIN2A
57,PPFIA2
58,MAPK1
59,AMPH
60,CACNG3
61,FLOT1
62,ANXA1
63,LRRC7
64,DLGAP2
65,GABRA1
66,ATP2B1
67,SV2A
68,SYNJ2
69,GRIN2B
70,GABBR2
71,GIT1
72,CTNNB1
73,ATP6V0D1
74,STX1A
75,GABRA4
76,TLN2
77,GRM3
78,BCAN
79,ERC1
80,DLG2
81,RHOA
82,CTNNA2
83,GSK3B
84,SYNJ1
85,PFN1
86,RAB15
87,RAB8B
88,PACSIN1
89,NSF
90,DLG3
91,STXBP5
92,KCNA2
93,YWHAQ
94,RPH3A
95,SPTBN2
96,WDR7
97,INA
98,GNB5
99,PPP3CA
100,YWHAE
101,ADAM22
102,ANK2
103,MINK1
104,SYNGR3
105,YWHAH
106,TNR
107,AGRN
108,KCTD12
109,MAP1B
110,MAP2
111,VCP
112,GRIA4
113,NRXN2
114,NLGN2
115,PEBP1
116,VDAC1
117,CNTN2
118,SCN2A
119,MYO5A
120,STXBP1
121,TUBB2B
122,SYT12
123,CORO1A
124,C1QBP
125,PRKAR2B
126,PSD3
127,HTT
128,RIMS2
129,DPYSL3
130,APOE
131,PRKAR1A
132,WASF1
133,NAPA
134,NLGN1
135,PICALM
136,ACTG1
137,EXOC3
138,RAPGEF4
139,ATP1A2
140,RAB35
141,ADD2
142,SYNGR2
143,KCNAB2
144,RTN4
145,SLC6A17
146,EXOC4
147,BSN
148,YWHAZ
149,PCLO
150,RAB21
151,DBNL
152,TUBA1A
153,ATP2B2
154,PLCB1
155,PRKCG
156,NRXN1
157,ERC2
158,PDE2A
159,HRAS
160,GAP43
161,CNTNAP1
162,SYT2
163,HSPA8
164,PPFIA4
165,PPP2R1A
166,CTBP1
167,RIMS1
168,VPS45
169,CSPG5
170,CANX
171,GABBR1
172,KCTD16
173,PPP3CC
174,NAPG
175,MPP2
176,SLC1A2
177,STX4
178,KCNMA1
179,RAB3GAP1
180,ATP1A1
181,ADD3
182,SV2B
183,EEF2
184,DCLK1
185,CDH10
186,KCNA1
187,HPCA
188,DNM3
189,PFN2
190,GRM7
191,GRM1
192,STXBP3
193,MAPT
194,STX7
195,RAB3D
196,OLFM1
197,STX6
198,ABI1
199,DYNLL2
