Gene2,AAK1,ABI1,ABI2,ACTB,ACTG1,ADD1,ADD2,ADD3,AGRN,AMPH,ANK2,ANXA1,AP3D1,ATP1A1,ATP2B1,ATP2B2,ATP6V0D1,ATP6V1B1,C1QBP,CACNG3,CAMK2B,CANX,CAP2,CDC42,CDH10,CDH2,CNTN2,CNTNAP1,CORO1A,CSPG5,CTBP1,CTNNB1,CTNND2,DBNL,DLG3,DLGAP1,DLGAP2,DNM2,DNM3,DPYSL3,DYNLL2,EPHA4,ERC2,EXOC3,EXOC4,GABBR1,GABBR2,GABRA4,GAP43,GOT1,GRIA4,GRIN2A,GRIN2B,GRM3,GRM5,GSK3B,HRAS,HSPA8,HTT,INA,KCNA1,KCNA2,KCNMA1,KCTD12,KCTD16,LIN7A,LRRC7,MAP1B,MAP2,MAPT,MINK1,MPP2,NAPA,NLGN2,NRGN,NRXN1,NRXN2,NSF,NTRK2,OLFM1,PACSIN1,PALM,PCLO,PDE2A,PEBP1,PFN1,PFN2,PICALM,PKP4,PLCB1,PPFIA1,PPFIA2,PPP2R1A,PPP3CA,PPP3CC,PRKACA,PRKAR1A,PRKAR2B,PSD3,PURA,RAB10,RAB18,RAB21,RAB35,RAB3C,RAB3D,RAB5A,RAB5C,RAB8B,RABAC1,RAPGEF4,RHOA,RIMBP2,RIMS1,RIMS2,RPH3A,RPS18,RTN3,RTN4,SCN2A,SLC18A2,SLC1A2,SLC32A1,SLC6A17,SNCA,SPTBN1,SPTBN2,STX1B,STX4,STX6,STX7,STXBP1,STXBP3,STXBP5,SV2A,SV2B,SYN1,SYNGR2,SYNGR3,SYNJ1,SYNJ2,SYP,SYT1,SYT12,SYT2,SYT7,TNR,TUBA1A,VAMP2,VCP,VDAC1,VPS45,VTI1A,WASF1,WDR7,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ
ADAM22,6.502002526999997,5.098935129,5.451840052999997,5.311076029299998,5.940203279,4.350566952399999,6.165395132699998,4.2632254304,5.6203323887,6.182530256299995,6.528874077999996,5.184708724399999,4.561396567600001,4.712503867499999,5.889765128,7.188900511000003,4.705397830100001,4.087462709,5.064035528599999,5.7494800783,6.882110318,3.783702182,5.460364337100001,3.860294047099999,6.023737279000003,3.955213706699999,4.781707283399999,6.002722825999997,4.7207306102999995,4.824948520399999,4.909584372799998,6.554385580400004,6.307221201000002,4.229665043399999,4.711798010399998,5.997208089000001,4.454921517699998,4.1029129449,5.6553328969999965,4.6463738008,6.1602743639999975,4.4325189044,6.660633598999999,4.994284892000001,5.478006009699999,6.328313879999999,4.930102307,5.917616467699999,4.4026122787,5.631989988,5.474288907999998,5.676110717000003,6.346610828399999,4.769843276999998,4.3615863737,4.024355508999998,4.587448049000001,5.864182219400001,5.736536440000001,5.5646531917,7.338177682000003,6.355425814999999,5.553858986399997,4.191402820599999,5.1667395059999945,6.3079203690000005,6.089701902999997,5.290807449299998,5.497278674400002,6.762293929999999,5.468383761999999,6.460138019999996,6.0117186490000005,5.8427783213,5.599748748999999,7.868926451999996,6.532034982000001,5.3480252333,4.745658883099999,5.500605512000001,5.727696801399998,4.410117982999999,5.884296035000001,5.892461186299999,6.260150160999997,5.427262899099997,4.640489949399999,3.9879339755999994,5.4935156969999985,5.255810228400001,4.862983232,4.552700097200001,4.7706417147,5.658407524999998,4.793192653,5.644370683999997,5.378971087,4.468269133399999,6.151737516999997,5.060679164399998,5.6584904190000005,4.403626262899999,4.297556223399998,4.937167965899998,4.878876083700002,5.123781471999997,3.8030849043000012,5.332197167999996,5.49877505466667,4.437438117999999,3.809234857199999,4.3514031796999975,5.081893944999999,7.791336423999999,6.537030525800003,5.5941249540000015,5.6958152434,5.283648080399998,4.3939234988,6.458618081000002,4.419952773399998,4.871740442,5.4364668997999965,6.207616034999997,5.774062743999997,4.9368926690000015,6.652083892399997,6.2418274659999975,4.305413511399999,4.979211465,4.453653954999999,6.860809099000001,4.5120947382,4.3085597019999975,6.332810846999997,6.292857889999998,6.328653842999996,3.9920123413,5.337106273999998,5.418191394999997,3.8979102447999976,6.263098691999999,6.2869701250000025,6.539978785999999,5.958283464999997,5.720282356699998,4.1395008268,5.3321055538,6.2729020160000015,5.120320490099999,5.460080737,5.597620356,3.9415965071,4.589868201000001,4.922963100199998,4.242893063399999,5.266506283199999,6.539369566,4.632555620999998,5.264296119999998
ADAM23,4.573483875999998,5.248601448399999,4.0936075339,4.490178381199999,5.222285830999999,4.541495313400002,3.8404137798,4.595786369999998,3.4531133906000013,4.40613023,6.542966505999996,4.736888146800001,4.731076049400001,4.3189896866999975,4.019411367999998,6.103567506000003,4.500134746000003,3.7046938288000018,3.475337751,5.6505985154000005,4.0545786232999985,3.7957258593,5.072858643,4.3957833933999995,5.657780722,4.338453823999998,4.778630675999999,4.339563874,4.732643550199999,4.4210747051000014,5.2285193343000005,6.3508558650000015,5.6560827679999965,4.772176134999998,4.669740065199999,5.588076417399997,5.850572317999996,3.8593477628000006,5.817461212999997,3.9300309442000003,4.186504587600002,4.094070444799997,7.0496582004,3.6148385581999993,4.522010404000002,5.445101962999997,6.145861138000003,5.4952478860000005,5.3323619504,4.240119259999998,6.151982364000004,5.416666951399999,6.2115606629999975,5.361635813699996,6.607492406999997,4.9012247004,4.706449611799999,5.1512816620000015,5.0190196338,3.9263308459,4.483300343599999,5.057840550999999,5.680906635999995,4.434796725000002,5.221891198299999,3.740603885799999,5.700629231099996,4.768733939799999,4.8613480430000005,6.149677331,4.538250867,4.948709985,4.887880480600002,5.078550633000001,4.814097618199998,8.310655631999996,4.2081173046,4.347610290799999,5.159559940599996,4.595455077999999,4.569350881999997,4.430472158999999,6.010781227999997,4.738960281999999,4.254258724399998,4.9720094865999975,4.681923725800001,4.301079948,4.2609036833,7.426975901000002,4.615852670200001,6.9512742990000005,4.135570286999998,4.690672873999998,3.7013670591000016,5.095318406999998,4.633319067399999,4.336860542000002,5.319873450799996,3.8382271679000004,4.5940086764,3.8229156937,3.701313285500001,3.3166579643999987,5.2700559514,4.366816290399998,4.239542740399998,4.212365448999998,3.797578413,3.9430414842999983,4.230776541699997,4.1050004424,5.0109352582,5.701727519199997,5.440984738199998,4.806768635299998,4.620329220000002,4.0585586274,4.6980096069999995,4.761778025299998,3.784379796800002,5.672281951199998,5.306710133599999,3.8067948286000006,5.0133713347,5.368028445999999,3.7061419206,3.9881463509999984,3.8406034738999977,4.197661396200001,4.386014691399999,4.378437249000002,3.4604942607,4.007070270300002,3.867972930799999,4.917906573099997,4.223231561999999,3.6471381013999986,4.7660924194,4.495750499399997,3.783510777,4.864626865999998,5.813224448799999,4.4456654218,4.111778269400001,4.737253463399997,5.6625278405999975,4.557087220999999,4.4817427489999995,4.933354231400001,4.9256421670999995,4.070643904699999,3.6740766731999988,4.6634031813,5.291113548999997,4.472561068000001,4.317265607,4.807629175999999,4.511829498800001,4.188819698699998
ALG13,4.694338097,4.2630078924,4.0248655334,3.0931685606,3.4006861719999995,3.6359224863,4.5598794197000005,3.9648528915,6.0051960210000015,3.0161763877000003,4.3674637314,3.781473734100001,3.967906953900001,3.2599137400000013,5.008970580300001,4.5052090207000015,4.152661243599998,3.894976706499998,4.626940993,4.3045525160999984,4.311752444399999,3.9492705042000003,3.5767537861000003,3.9070329828,4.480565831399999,4.474451554399998,3.9124277007,4.4389080286999985,3.8411242429,4.431301880399998,4.4637712814,3.9786875127,5.677734202299999,4.5983677638,4.793485950000001,3.625666121100001,3.320529974400001,5.443885882999999,4.167993171400002,4.0563321987,4.472991842099999,4.3010468867,3.5627338309999974,4.241122087799998,4.1001023838,3.9182466453999982,3.4948407419999983,4.554306176700002,4.075845266900001,3.906372758399999,3.8772898035999983,3.470611522,3.796515509800001,3.5991414677999995,3.8607840110000007,4.2182710265,4.331461598033333,3.9354534271999984,5.421989287999997,3.9287992114999986,4.043631163099999,3.9168064155,5.495364229400001,4.690905497699998,3.3119077796000003,4.4394983289999965,3.6695277791,4.222800353699999,3.9193874225000007,3.8797482874,4.460001696799999,3.8315953596000014,3.7641779825,4.088004086799998,4.354129706299997,3.6326352632999996,3.8481136129999993,3.6990573397,3.4560370729999983,4.4975941025,4.073662113699998,3.5774268320000018,4.633458106999998,3.867321905199998,4.205646786399998,4.721723232199999,3.4230615761999985,3.8000542063999987,5.973506198999997,4.6515019086,3.6881572354999994,3.4297907334999977,3.9309596074,4.084408322400002,4.4127936597999975,4.027786046900001,3.8935793774,4.2897292814,3.5409511178000006,4.8585750003999975,4.290150095399998,4.2754869379999985,4.977526911999999,4.958291855899999,4.2543966004,4.175486110099999,3.6720310804,4.0271775937,5.1798247989,4.638612500999996,4.196021183600001,4.580567230099998,3.379581503400002,4.1623041805000005,3.8180226455999984,3.6996623038,3.8647703937000015,3.3231104296999985,3.6147616807999987,3.434411996099998,3.992960761800001,3.3054156590999986,4.2398627548,4.020376199599999,4.316221582400002,4.197633857999999,4.004538810799998,4.317782275799998,3.9686851452,4.334419668699997,4.535246414099998,3.592686135799997,3.4358974324,4.4256410553,3.903777647500001,4.693634051399998,4.221506720599997,4.230450837699998,4.7311506058,3.9388857602,4.0361435194,3.4419132160999992,3.5506705748000003,3.5160314332999985,4.427473551500001,3.5191852572999984,4.426352132700001,3.8625108931,4.3555418663999985,4.928690360999999,5.142274078999999,4.377642170400001,5.163614919999999,3.6359217427,3.630415022,3.966985711800001,3.797335869899998,4.308914713999998,3.930234525499998,3.8826388470000017
ANKZF1,4.709439884999998,4.905414006999998,3.3909221695,3.888307402,3.417677963900001,4.463411390399999,5.037719878099999,3.1054785963,4.8263207759999975,3.5492536621,4.2375582438,3.470734429200002,3.8240305221999984,3.3211177637000007,4.660931921999998,5.377969439000002,2.9806880409999983,3.928445210300002,4.165208194800002,3.8285942946999993,3.2926869219999992,3.4895927441000008,4.272998137200002,3.1270959197000003,3.1030265290999983,3.7630674204,3.5352570815999984,4.390215435000001,3.551704458799998,3.7560334509999986,3.6649004206,5.757531596999997,2.7877298108999997,3.450587615999998,3.8292124000500007,5.380438418300001,5.839050933999999,4.793220890700001,5.902043900300003,3.4722470489,3.555353862099998,3.3638788898000005,2.5616473574,4.507362354699999,4.212710229,6.035215602,3.003987106399998,4.353435256099997,3.2491168419999985,3.4399282763,3.593454624,2.8815954614000017,4.131530343199999,2.9958148856999998,3.835705968200002,6.291025687999997,3.4989456268000003,4.9648795250000015,4.785091617,3.6963115096,2.677047037699998,3.0953304005999995,4.494457682699999,3.4633019732,3.745404615899999,4.569972432399998,3.5232728366000003,3.7372201505999993,4.4521538475,6.335793857000003,3.5960383328999983,3.2751388484000006,4.491230761999998,3.1974847004999982,3.3443004646000007,4.992637907799997,3.6141983845,4.0358309268,3.9102650282,5.6492162094000005,3.4281942828000016,3.7021452275000017,4.117150711899999,4.058977678999997,3.6606626863,3.4918258516000007,3.4202624981999987,4.5786833,3.2776055420000016,4.5412220433999995,4.568124123999999,3.3763116568000004,4.451737413000001,5.134206318,4.7933074944,4.422945199399999,3.7849336492,3.5456934152999997,3.1237778083,3.093043298300002,4.250106400000001,3.3599573585000004,3.6825140002,4.412563165799998,3.6033454378000016,4.1123348762,3.4872477437000016,3.9048102342,3.9458182171999976,3.4072699550000016,3.585730260900001,3.4948434091000014,3.3832826673,3.797066757600001,3.4457285237,3.6774932698000002,4.348907532100002,3.0997548456,3.416846989499999,3.3144851538999998,3.2155778413,3.7869145022,3.3600772190000017,3.2361113364,5.179473960999999,3.469846913,3.5067713677999985,3.3528967575000013,3.2899346550000006,3.702200414600002,4.035876503299998,4.474505935399999,3.898203923199999,3.6131195835,3.774883203999999,3.5610505819,4.210041852399998,3.2599810506999995,3.1997395397000004,3.8615533692999993,3.3193356789,3.3190319755000006,3.3762384801,3.2895386404000004,3.5488819966000005,3.1237227331999997,3.5805630382000015,4.80723932,3.6588303446,5.0590120759999975,4.5555878104000005,3.9596719848000004,4.150292823199999,3.3737707372,2.9824591662333324,4.1893031459999985,3.9745857715000015,4.032952542099999,4.202657093699998,4.878147149000001
APOE,4.980025464699998,5.905239561000001,5.308736212999995,5.532861628000001,5.544078067999999,5.084627386999999,4.790715215999997,4.919771769,5.033535076999997,4.041538372,5.044598961299998,5.586236959999999,3.9576595464,4.687574632000001,5.609951105000002,3.946265602,4.955549127199998,4.3235019099,5.2780008561999985,4.2892394020000015,5.355890094999999,5.778258279400003,4.0891315285999985,4.7888702712,4.0895408815000005,4.926063201699998,4.745019318999997,3.6220873000999987,4.6850635894,3.7531188479000015,5.316043205400001,7.0225619890000015,4.767226368399999,4.6346760088,5.702787714699997,2.3916146065999984,3.1156366677999996,6.391641773,4.262771027400001,5.497364838400001,3.7862689222000014,5.030102726899998,3.9001206317999983,4.800027271499999,3.6247937284999985,5.513368080399996,3.7975313579999983,4.8779539874000015,4.1875487566,3.932768254899999,3.824758021500001,5.173123409000001,4.5251729854,3.924977420099998,3.9274290437,5.692000252399996,5.119830399,5.578091337999999,4.916004314999999,4.7187656460000005,3.585455842,4.794713156599999,5.695470724,6.447230559999998,3.455582906799997,4.437992887800002,4.373914312799998,4.672473495999999,6.020114463999999,6.273067762999999,3.8604863804,3.9720327896999983,4.414594785799999,4.724094237,4.140650752500001,4.294010835399998,3.887473441999997,5.242030350000001,4.927095521299999,4.666434733899998,3.911761716300001,4.7134330989999995,4.874320254000001,4.6435863581999985,4.106659114699998,5.274656730999999,6.236657444000001,5.453028432000001,5.498864635399999,5.352652566000001,3.7036371846000016,4.859788128499997,4.856734663399999,4.246927273699998,4.912555102299997,5.018409381000001,5.050611583799997,3.5848943011999994,2.9261728381999985,4.646895633000001,4.602865071100001,3.637390587100001,5.350670377999999,4.632052365399999,4.049193922,4.510265435699997,5.021070250200001,4.662634699,4.896574558799999,4.298895906999999,4.649623611099997,4.0163416230000015,3.5596618667,4.270372832399998,5.0827147279999965,4.1974572883,5.121661846399999,3.454103509100002,4.2510844725,4.431845567099999,4.5712684571999995,6.0063498100000015,5.169011943999999,4.330057889700002,6.288802142099999,5.5891139349999985,4.340949087799998,3.475023466100001,4.1823523868000025,3.8744625756,5.230757168999998,5.472840564,3.8359697663,4.1666532925,4.130366881499999,3.373107688499997,4.8388292695000015,3.8172766644,3.9990303467,4.693279254999998,4.198040214699998,3.8645003855,5.531436641399998,3.3723900405,4.129832333399998,4.229250258700002,5.271205137999998,5.0772768043999985,3.755012872900001,5.25163176,5.15678072,4.0499243652,4.031942359600001,3.8047024203000017,4.2518744742,5.486979421999998,4.976353659,4.9267338838,5.561965187999999,5.321971289999997
AQP7,3.9087655791,3.836493093399999,3.0625478252,3.5672856206,3.6279632002999977,3.3485592812,2.7920481182,3.2734521044,4.3763636892,3.8355075738000006,4.3030360832999985,4.127162506800001,3.6514113009,2.9650429513999987,4.54331174,4.398391032799999,3.735335302599999,4.122955888299999,6.279421511100002,3.795725484900002,4.055951376199999,3.6945771348000007,3.9337700601000014,3.732987617799999,3.944857937000002,3.4855768421000004,3.7550571071000016,3.3862552521,3.0074474977999985,3.8929864418,3.3305236576999997,4.667490022999998,2.8801480075,3.3696796407000016,3.5269108420000004,3.6825529644000015,3.6501195061999985,2.7470638494999995,4.112819495,3.7996878611999994,3.5859020784999984,4.5155077344,3.2675927472499984,3.1147213894999988,3.4900492057999988,3.769739220400002,3.7928115397999993,4.1572460279999985,3.6256810358,3.876023612499999,3.6505357145999966,3.5846143308999983,3.614766961199998,3.795349209,3.740541303899999,3.9371338675000014,3.3308088069000013,3.7636247994,4.302178336999998,3.8063487287999975,3.8820032429000015,2.9087291029000006,3.7314323798,3.9068676373,3.4433314731999984,3.657829977400001,3.0923403407999985,3.4836194187636367,3.7673481878000015,4.179984891399998,3.6416064622000013,4.2479779074,3.2178001962999985,3.7158127527000007,3.9286876785999976,4.123430060499999,3.3845856554,2.933726335599998,3.6266643074999987,3.4453484186999983,3.3858474526999984,3.3754078603999997,4.274818869099999,3.452202071400001,4.019877859999999,3.8090570221999984,3.6546280737,2.7625444054000003,4.284776119099998,4.0354581476,2.9567758419999977,3.4668424533999995,3.4625085966999984,3.2571637056999987,3.3551458338000018,3.5192000399000003,2.9105063474,3.9530085356,3.5833252860999982,3.9431470158999993,3.6150912114999993,3.538477276700001,4.061995318799998,3.9334877608000016,4.5315086287,3.591908544400001,3.3772896365000005,4.187838909699998,3.5581023249999992,3.9003331963999996,3.3095860058,4.072169114099999,3.7284054574999983,3.3212482607,3.6227649106999986,3.8845630309999986,3.8791942551,3.477322598900002,3.7459772777999985,3.611712834399999,3.730998946399999,3.934498642900001,3.6252091527999997,3.5348004139999984,3.0076717782999998,4.143261670799999,3.4777548785999985,4.517459154399999,3.1227069029000005,3.4068887190000003,4.6110833857,3.1745456729999995,3.7116470320999984,3.807626242199999,3.7348026504000016,3.321936638399998,3.996154282800001,3.0975317124000004,3.3861187371999995,3.47908693,3.9202402419,3.3428288169000013,3.3113183187999997,3.9364462404,3.7994700189999997,3.7622198935999984,3.6441669909999983,3.766841568000001,3.9463210831999986,4.2765183997000005,3.760121834,3.0326509978999985,3.7174838238000008,3.509781733799999,3.5496363143000003,3.8271410977999984,3.7072145845,3.836598714500001,3.6306069987999994,3.660403368399999
ATP1A2,5.100901123999996,4.9451656979999985,3.8339501191000003,5.248729074300002,5.019219664000001,4.344226987699997,4.2767550468,5.051303700699997,3.6355904598,5.3610893410000005,5.603838630399999,4.8036030256,4.984465871399999,10.083599704000003,5.676736234999997,5.481310966000001,5.0881924049,4.732714758199998,4.916750244200001,4.9940353464,5.129831665,6.063174247,4.797361420999998,5.5560384539999985,4.091080662299999,3.6935192415999993,4.8417361728999975,4.294691217,3.8687916627,4.991189902299999,4.390005856999999,6.861057958000004,5.237589951000001,4.524373079999998,3.2361205335000003,4.389501998,3.938982625100001,4.5250828451,3.844136151399998,3.9767349633999993,4.561026278999999,3.4546338454000014,4.5114802592,4.5865901088,5.579317724099997,4.646720285299999,4.896294982699998,5.128060512299999,5.7856828248,3.7758417940999993,4.864630609199999,4.924755102699999,5.351018004599997,5.450513936399998,5.0771455038,3.937252053,4.4785781844,5.2307235999999975,5.190140717999999,4.4424760639999965,3.800240806299999,4.1588311452000015,5.0162237439999995,4.5933742727999975,3.9736931045999966,3.4932012649999984,5.867874175700003,5.3276532172,5.870268305999996,6.170420829000001,4.935018212,4.658637798,4.470745099700002,4.2173286114,4.082736488199998,6.649065650399997,4.2922557154000005,5.1546421107,6.359438256999997,4.771982554700002,4.138217232999998,3.5513763533000007,4.608254319999999,4.167619311599998,4.648732989000001,4.469529871099999,3.7979399115999986,4.889442012,5.6293765780000005,5.3093278006,5.082769577099999,5.349028691999999,4.508151938999999,5.068027687999998,3.7985921624,4.5641315898000006,4.954081058399998,4.0010481987,4.182096693399998,4.854832484,3.3210627862,4.9252799232000015,4.5634031797,4.5809692539999975,5.158289188799999,4.2394717132,4.792588089999998,4.646869925399998,3.8714599994000007,4.851060378299998,5.337427683699997,5.262852290399998,4.023177597400001,4.887949902999999,4.990137012599998,5.207441019700001,5.0240903146,4.434666705999998,3.7929712399,4.796255146199997,3.9513372254,5.5308429823,5.387559062800001,3.6942267951,4.5616565716,5.546548983099999,4.0789478283000005,4.3986595783999975,4.363859865400001,3.9482167770000007,4.893467495999999,4.191416222100002,4.352939620999998,4.1080820544,4.062841566,3.8326684199999987,3.5443970531000013,4.3198734536000005,4.0984271661000005,5.365543397,3.8839296329999984,3.9897162103999984,4.5999238374,3.8727440989999997,4.0792785873,4.140120083999999,5.876985033,5.310684558999998,3.711465816799999,4.8171648484,4.963337200699999,4.444158782399998,3.6850282520000017,3.962197754999999,5.974501147000001,5.144844321000001,4.799041390299999,4.2877386095,5.100057648399998,4.492253962299999
BBS9,3.7135780084,3.9090255724,4.1095507740000015,5.412364383,5.0003024727000005,4.0225462782,3.3387936726999996,3.7040987834999983,5.679044966999999,3.5619083628999983,4.402866500300001,3.2191476960999994,3.4728755342999995,5.868585972999999,5.507354149399999,4.077968345799999,3.2686150660999984,4.099594372099998,3.0739067284000003,3.5134240601999998,4.1417678753999985,5.397731101199998,3.5227111859000013,5.646358716,3.4046188691,6.154297852700001,3.9067253700999993,3.4601734618,4.0545463038,3.218002517299998,3.8624062048,6.305681843000003,3.5874348798000004,4.210861888399999,4.2991338074000005,3.746939642500001,3.6373214691999993,3.8456833603,3.675427231200001,4.084056523499998,5.66589081,3.7802116351999997,3.1064151117,3.5411667735999983,4.322653256299998,3.2298264158999985,3.4522984038999995,3.7414478728,3.3023919505999992,3.1747224163,4.713946515299998,2.9879647627000017,3.5125488116000008,3.409598870199998,3.3209187719999984,4.870819213399998,3.7450001656,4.0829597548,5.089106799199998,4.061832700299998,3.1581407926,3.5195441578999986,3.796891011999999,3.5330424201999997,2.8566386641999992,3.7197421645999986,3.1497334622999977,3.4183457942000013,4.689718684399997,4.429789789599999,3.6588107643999983,3.0742214544999995,3.2896905982999995,3.825440355500001,3.1287462193,4.382993507199998,4.339020576399999,3.1164732188,2.8326351571999995,3.5094380611,3.1590591815999995,3.805250464399998,3.708637222199998,3.4278147194999997,2.8777017041999984,3.4238323121000014,3.5378253052000006,3.862786615500001,3.6870793485000006,4.2941659697,4.245724622199998,3.854285073099999,3.7602984241999993,3.6369125516999983,3.926258236700001,3.6316289923000014,3.4690635867999977,3.3218541742000003,3.790732345599998,5.436318904599996,5.968512417999996,3.8309261289,3.8832174806,3.7483159934999986,3.6167200824,3.1661438068,3.4892557824999995,2.9936770669999984,6.2284935928,6.130427267999999,2.8783993045000016,3.0628365558999984,3.8829221604000015,3.7800132047999986,4.245295007499998,3.610392546,3.6859267798,3.3006667039,3.374261181400002,3.383821971,3.2416452833000005,3.9577919323999984,4.2957367668,3.1515060745,3.6160530663,3.9783671358999984,3.9450996413999984,3.511685628500002,3.5992132262999985,3.4221118407999986,4.4474932033000005,3.4156140577,3.6558715,4.086180932,3.3360048016999992,3.4303352645,3.7747718282,3.6075270555000003,3.6908349107999983,3.5436008321999983,3.2132021169999985,3.2852430157000003,3.5565363194,3.4644063466,3.5296838408,3.4853736529000003,3.1638095632999987,5.771381822999997,3.2891940968999998,5.549266621699998,3.4012870021000015,3.675951692799999,3.8974482490999987,3.8721936732999986,3.4592562964000018,3.1726814224000015,2.9564203849999986,5.971696980000001,4.318347628399998,3.5438045621000005
BCAN,4.1671463276999985,4.8392785618000005,4.3335695332999995,4.538548040799999,4.4038828587999985,4.8181208798,4.108325650999999,4.7225640329999985,3.7379453628000014,4.6815098987,5.934088703,5.0151260769000015,4.590273835399999,4.284868975699999,3.4774097951000003,4.540404577666666,4.230932878399998,3.8580187572000018,3.6942817981000013,5.792177454999997,4.7008511340000005,4.291365956300002,3.9262377117000002,4.4138574667000015,4.326812835,4.505640438,4.8010214441,4.7028159088,3.850637597,4.2745522189999985,4.6280664682,4.475746626000002,5.881854724999997,4.192528232800002,3.8205864814,4.661138434100001,4.2723776950999985,3.933601113599999,4.120637012399999,4.837304635699999,4.1192390127,3.6949722421999986,4.473745356499999,4.0122529612000015,4.834255572,5.466842202999998,5.150248705699998,5.304307508299998,5.4699325443,4.215763639,4.154244744999999,4.821423263199998,6.571042629999996,6.066086830799999,5.4702023291999975,4.471370441,4.225778680899998,4.499817721899999,4.1868006234,4.373667177599999,3.9872498794000006,3.9307184899999994,4.423800231399998,4.67248296,5.6521847083999965,4.301118074999999,6.056866601999997,5.334580580000001,5.235674952999996,5.502028676999999,4.2500048216999975,3.558153055,4.394692034599999,4.286833393999999,3.9603200367,5.949049501699999,3.830765324199998,4.3687765373000005,6.361896033000001,3.6740712101,4.6886456577,5.2237196954,4.5967983464,3.7858365297,4.4244280510000005,4.562308184400001,4.502926610399999,4.412884676399998,4.728319277199998,5.282235069600003,5.2541164292000015,5.372543570999997,4.593398562199999,4.7251137513999995,4.213139180300002,4.330387073133331,4.3243619805,4.452658936999999,5.248232298399999,4.249882218999997,4.3308707233999995,3.933132390699998,4.568380254100001,4.4354770648000015,6.4684749764000005,4.250041970999998,4.4284774427,4.190875489800002,4.505317401199999,4.7039706807999995,6.0494677674,4.474469025900001,3.879673849299999,5.195331194999997,4.954749121200002,5.782838079200003,4.303670229000002,3.7501248031,4.492179181399999,4.1350582221,4.448030137300002,5.3697149493,4.862731873400002,4.9768081063,4.359223396,5.238425289399999,3.9747751144,4.4806691244,4.456234607400001,4.568329891000002,4.429869313400001,4.134448274299999,4.2621375281999985,4.062658697999998,4.1661199724,4.580842947199998,3.9578287110999986,3.8012604084000015,4.4130189433,3.8587202303,3.7924215016,3.9648344683,6.274002018000001,3.8453724320999996,4.523763046300002,3.8745408994,6.6961309259999995,4.7044275854,4.1912997783999995,4.173049595799999,4.612457684399998,4.1099112143999985,3.9526095964,4.327231967299999,4.9097291594,3.9430476487,3.8805055583000017,3.7953003882999994,4.615184716000001,4.375133415999999
BMF,3.5622152544,3.7356020379999975,4.9135039639999984,4.2781258872,5.224696144000001,3.8678300228000007,3.4930729075,3.731895229299997,4.481221275000002,3.3373567259,4.275581249400001,4.902725666399999,3.5714360876000013,4.262953043799999,3.3511649809999997,3.3517891822,2.7441145620999987,3.195212682333333,4.4986462774,3.336123893999998,4.087799323099999,3.5262735426000016,2.9141224812,5.173581510399999,3.4231959381,3.567753910400002,3.4756596182999986,3.133571149,3.7981306668,2.8152557910999985,4.884398050699999,6.165426932000001,3.573233758699998,4.843690652799999,4.602433179699999,4.4706591936,2.8186908894000013,5.100164523000001,3.6025836103999986,3.781134234799999,4.271251620999998,3.7131739284,3.0767921320999987,3.97229438,5.369571572999999,3.090468036199998,2.8565742953999984,3.1902538348999987,3.3520998330000014,2.8245237879,3.4514515098999987,3.9366494851000016,4.434705217999999,3.1553394135999984,3.803368805799999,5.5324006610000005,4.527387028400001,4.870686171,4.409751773999998,3.5934061396,3.1450538502999996,3.514863611300002,3.7544511157000016,3.3656940943999984,2.208532626299999,3.0684801055999986,3.5526691952999987,3.5407793767,3.3869139929999985,5.879184712999997,3.6495988889,3.6286944884000008,3.3320044372333344,3.2494492164999995,2.8632353787999985,4.467460700700001,3.5189906785999985,4.519618672,4.7495928286,3.3343279556,2.825729982699998,3.693112729099997,3.291549453599998,3.6496778527,4.50027533,3.5386917528,3.600135291799997,3.9530461333000018,3.4694291637,4.231939462699999,3.9841340822999984,3.0933415184,4.2307362149,5.311114120999999,4.792140909299996,4.5020371258,3.2703266341999995,3.2970733933,3.3580390076,3.2725959354,3.4853652719999992,3.456402826,3.474500464499999,3.2698794881,3.3466204608999996,3.35805741,4.5090163174,3.1745750777000006,3.5625766286999982,3.4444281731999986,3.4132468301999985,3.6925918120999985,3.1096846384,3.823346064,3.707188289,3.2692250028999985,3.2226685620999995,4.215259815199997,4.464154195700002,3.3344669277,3.4906117950000013,3.405621203999998,3.8084530184,3.2410439825,5.052711247999999,3.8083621620000017,3.5143463683,3.471132186200001,3.3816974642999997,2.966314329599998,4.062178805999999,3.670978227700001,2.9318694023999985,3.3447144774000015,3.6423497624000016,3.3522091772000007,3.3234181806999987,3.1719403518999987,3.6590986765999984,3.692756921699998,3.2291536801999987,3.8626808943,3.3975307388999982,3.4144636712000014,3.8818348727000007,3.2963779695999986,3.8640800808,3.6788687199999988,3.5225488361000004,4.742255675699999,4.477164573999999,3.4000845047,3.5751018288,3.7736610427999984,2.8110151397000003,4.2293924669999985,4.239500497199998,4.769908838400002,3.706811370399998,5.061228121399997
