,genes
0,AAK1
1,ABCG1
2,ABHD5
3,ABI1
4,ABI2
5,ACSS2
6,ACTB
7,ACTG1
8,ACVR1B
9,ADAM22
10,ADAM23
11,ADAM8
12,ADAP2
13,ADD1
14,ADD2
15,ADD3
16,ADI1
17,ADO
18,ADRA1B
19,AGRN
20,AKT1S1
21,ALG13
22,AMPH
23,ANK2
24,ANKZF1
25,AOC3
26,AP3D1
27,AP4S1
28,APOBEC3C
29,APOE
30,AQP7
31,ARPP21
32,ATP1A1
33,ATP1A2
34,ATP2B1
35,ATP2B2
36,ATP6V0A4
37,ATP6V0D1
38,BBS9
39,BCAN
40,BCL2L11
41,BDKRB1
42,BHLHE23
43,BMF
44,BMP1
45,BNC1
46,BSN
47,CACNG3
48,CADPS
49,CAMK2A
50,CANT1
51,CANX
52,CAP2
53,CBS
54,CCDC40
55,CCNJ
56,CD320
57,CD80
58,CDH2
59,CDO1
60,CENPM
61,CMTR2
62,CNBP
63,CNOT7
64,CNTNAP1
65,CORO1A
66,CSPG5
67,CSTB
68,CTNNA2
69,CTNNB1
70,CTNND2
71,CTPS2
72,DBN1
73,DCAF15
74,DCAF5
75,DCLK1
76,DEGS1
77,DLG2
78,DNAJC5
79,DNM2
80,DNM3
81,DPYSL3
82,DXO
83,DYNLL2
84,EBNA1BP2
85,EEF2
86,ELF4
87,EML2
88,EPHA4
89,ERC1
90,ERC2
91,ERG
92,ESYT1
93,EXOC3
94,EXOC4
95,FABP1
96,FAM53B
97,FILIP1
98,FKBP8
99,FLAD1
100,FLOT1
101,FRG1
102,GABBR1
103,GABBR2
104,GABRA1
105,GALNT4
106,GIT1
107,GLB1L
108,GNB5
109,GNL3L
110,GOT1
111,GPM6A
112,GPR39
113,GPT2
114,GRIA1
115,GRIA4
116,GRIN2B
117,GRM1
118,GRM3
119,GRM5
120,GRM7
121,GSDMA
122,GSK3B
123,GTF2H1
124,HBE1
125,HIPK1
126,HLCS
127,HLX
128,HMGCS1
129,HOXB6
130,HPCA
131,HRAS
132,HS1BP3
133,HSPA8
134,HTT
135,IFIH1
136,IFT81
137,IGFBP3
138,INA
139,IRX1
140,ITGB3BP
141,ITGB6
142,ITM2A
143,JRKL
144,KCNA1
145,KCNAB2
146,KCNMA1
147,KCNN3
148,KCTD12
149,KCTD16
150,KIAA0586
151,KIF20A
152,KIF22
153,LARP4B
154,LIN7A
155,LNX1
156,LRRC32
157,LRRTM1
158,MAP1B
159,MAPK1
160,MAPK12
161,MAPK13
162,MBD1
163,MEMO1
164,MINK1
165,MPP2
166,MRTO4
167,MYBBP1A
168,MYO5A
169,MZT1
170,NAPG
171,NEK9
172,NFATC1
173,NLGN1
174,NLGN2
175,NLRP9
176,NRXN1
177,NRXN2
178,NSD1
179,NSF
180,NTRK2
181,OCRL
182,OLFM1
183,PACSIN1
184,PALM
185,PCLO
186,PDE2A
187,PDE7B
188,PDIA4
189,PEX26
190,PFN1
191,PFN2
192,PKP4
193,PLCB1
194,PLIN2
195,PLVAP
196,POLR3A
197,PPARG
198,PPFIA1
199,PPFIA2
200,PPFIA4
201,PPIG
202,PPP1R1A
203,PPP3CA
204,PPP3CC
205,PRDM16
206,PRKACA
207,PRKAR1A
208,PRKCG
209,PSD3
210,PSME2
211,PYROXD1
212,QRFPR
213,RAB10
214,RAB15
215,RAB17
216,RAB18
217,RAB35
218,RAB3A
219,RAB3C
220,RAB3D
221,RAB3GAP1
222,RAB5C
223,RAB8B
224,RABAC1
225,RAD50
226,RAD54L2
227,RAD9B
228,RAPGEF4
229,RCCD1
230,RHOA
231,RHOQ
232,RIMBP2
233,RIMS1
234,RIMS2
235,RNF138
236,RORC
237,RPH3A
238,RPP25
239,RSPH9
240,RTN3
241,RUSC2
242,S100A11
243,S100A5
244,SAMHD1
245,SART1
246,SDC4
247,SEPSECS
248,SHANK2
249,SLC16A5
250,SLC18A2
251,SLC1A2
252,SLC2A14
253,SLC32A1
254,SLC35A5
255,SLC41A1
256,SLC43A1
257,SLC45A2
258,SLC7A8
259,SLC9C1
260,SLCO3A1
261,SNAP91
262,SNCA
263,SNRPC
264,SOAT1
265,STAB1
266,STX1A
267,STX1B
268,STX4
269,STX6
270,STX7
271,STXBP1
272,STXBP3
273,STXBP5
274,STYX
275,SUGCT
276,SURF6
277,SV2A
278,SYN1
279,SYNGR2
280,SYNJ2
281,SYT1
282,SYT12
283,SYT2
284,TACO1
285,TCTE1
286,TLN2
287,TMIGD2
288,TMTC1
289,TNNI1
290,TNPO2
291,TNR
292,TST
293,TUBA1A
294,TUBB2B
295,U2SURP
296,UBA3
297,UBE2A
298,UBN1
299,UNKL
300,UPP2
301,VAMP2
302,VCP
303,VDAC1
304,VIL1
305,VPS45
306,VTI1A
307,WASF1
308,XRCC2
309,YWHAE
310,YWHAG
311,YWHAH
312,YWHAQ
313,YWHAZ
314,ZDHHC13
315,ZFP36
316,ZFP91
317,ZNF516
318,ZNF69
319,ZNF706
