,Gene1,Gene2,ytest,ypredict
0,CAMK2A,ABCG1,4.499198000000001,3.284649139099999
1,CAMK2A,ABI1,7.120294,5.167635900699997
2,CAMK2A,ACSS2,3.6984123999999996,4.018160614199997
3,CAMK2A,ACVR1B,7.434403,5.1629811084
4,CAMK2A,ADI1,2.2078387999999998,4.132444510999997
5,CAMK2A,ADRA1B,4.0157146,4.867710712299999
6,CAMK2A,AKT1S1,7.9434166,3.8938080890999993
7,CAMK2A,AMPH,6.6363616,5.515411202799999
8,CAMK2A,AP4S1,3.6867542,4.0437951791
9,CAMK2A,ATP6V0D1,6.8889685,5.133290109199999
10,CAMK2A,BCL2L11,8.321928,4.688987468999998
11,CAMK2A,CACNG3,8.584963,5.154774341499999
12,CAMK2A,CCDC40,4.320426,3.3956628400000004
13,CAMK2A,CCNJ,4.9975977,3.9988774827999993
14,CAMK2A,CENPM,2.4560916,4.2096418236999975
15,CAMK2A,CNOT7,6.340075499999999,3.5829334416999994
16,CAMK2A,CNTNAP1,5.4806256,4.243213703099999
17,CAMK2A,CSPG5,7.8889685,4.131875715900001
18,CAMK2A,CSTB,4.5976415,3.9105979365000003
19,CAMK2A,CTNND2,7.7530850000000004,6.328845620999999
20,CAMK2A,DCAF5,2.4560916,3.445518923400001
21,CAMK2A,DNM2,6.971431,4.795733793000001
22,CAMK2A,EML2,3.5353317000000004,4.1053939987999994
23,CAMK2A,ESYT1,6.802554,3.626014867399998
24,CAMK2A,EXOC4,8.705256,4.884688887399998
25,CAMK2A,FAM53B,5.248679,3.4891948527999976
26,CAMK2A,FKBP8,3.9667239999999997,6.147405010000001
27,CAMK2A,GPT2,3.6049373,3.8626212854999995
28,CAMK2A,GRIA4,6.9434166,5.5744142130000025
29,CAMK2A,GRIN2B,6.721024000000001,6.521266298399995
30,CAMK2A,GRM5,8.528379,6.227774907
31,CAMK2A,GSK3B,8.321928,4.728495169399999
32,CAMK2A,GTF2H1,5.437656,5.177720995
33,CAMK2A,HOXB6,2.8856330000000003,4.388080693200001
34,CAMK2A,HRAS,8.528379,3.400898885200001
35,CAMK2A,HSPA8,7.9434166,5.226448529000001
36,CAMK2A,ITGB3BP,4.9296107000000005,4.066242334699999
37,CAMK2A,KCNMA1,5.897901999999999,4.2683310282
38,CAMK2A,KIF20A,4.5335903,5.056185434699999
39,CAMK2A,LNX1,3.1314450000000003,5.017277327699999
40,CAMK2A,MRTO4,2.3313512999999997,3.7511203407999987
41,CAMK2A,MYBBP1A,4.9296107000000005,4.157625373999998
42,CAMK2A,NRXN1,7.871267,6.245156486399999
43,CAMK2A,NSD1,6.0689473,4.920678931999998
44,CAMK2A,NTRK2,6.962032300000001,5.994573985400001
45,CAMK2A,PACSIN1,6.6363616,4.979145901999996
46,CAMK2A,PFN1,7.00965,4.957514854999999
47,CAMK2A,PFN2,7.8889685,3.884607955999999
48,CAMK2A,PKP4,5.9068904,5.188345701400001
49,CAMK2A,POLR3A,4.3770695,4.993203223
50,CAMK2A,PPFIA1,6.8109660000000005,4.9484927992
51,CAMK2A,PPFIA2,7.8889685,6.057082350400001
52,CAMK2A,PSD3,5.9068904,4.6221176347
