,Gene1,Gene2,ytest,ypredict
0,CAMK2A,ANXA1,6.460634,4.7196679321
1,CAMK2A,ARHGEF1,4.9296107000000005,3.6773678592000003
2,CAMK2A,ATP6V1B1,5.948048,4.1692532574
3,CAMK2A,C1QBP,4.9296107000000005,4.754704094299999
4,CAMK2A,CAMK2B,9.421464,7.006641573999999
5,CAMK2A,CD3G,4.65139,3.6967302432000015
6,CAMK2A,CDC42,7.7530850000000004,3.9164699255
7,CAMK2A,CDH10,5.897901999999999,4.148792214
8,CAMK2A,CENPI,2.4560916,3.393712461000001
9,CAMK2A,CEP78,6.802554,4.737355182400002
10,CAMK2A,CHST6,3.215496,4.980230402999999
11,CAMK2A,CNTN2,8.528379,3.9536695502000017
12,CAMK2A,CTBP1,4.355375,6.654814097999999
13,CAMK2A,DBNL,5.9068904,4.570160116399998
14,CAMK2A,DDX56,4.5976415,3.5670285729000004
15,CAMK2A,DLG3,8.584963,4.681991773000002
16,CAMK2A,DLGAP1,5.9068904,6.530359158999999
17,CAMK2A,DLGAP2,5.9068904,6.401072711000001
18,CAMK2A,EMILIN3,1.6620511000000002,4.9138616294
19,CAMK2A,EP300,7.9434166,5.0845437422
20,CAMK2A,GABRA4,5.897901999999999,4.287634534999998
21,CAMK2A,GAP43,6.592194,4.086340912
22,CAMK2A,GPX2,3.2637560000000003,3.5447476861999987
23,CAMK2A,GRB14,5.948048,3.8744059644000015
24,CAMK2A,GRIN2A,6.721024000000001,7.090811136000002
25,CAMK2A,HLA-DRB1,7.802554,4.067353679699998
26,CAMK2A,HSD11B2,5.5043050000000004,4.406681391099999
27,CAMK2A,IL17RA,4.713119,3.963666855999998
28,CAMK2A,KCNA2,5.4806256,3.9763566201000016
29,CAMK2A,KCNG1,5.6857866999999995,4.541340956999999
30,CAMK2A,KDM4B,3.1314450000000003,4.102094937199999
31,CAMK2A,KLF9,4.792107,4.317502516299999
32,CAMK2A,KRTAP19-7,2.222142,3.7880418540999976
33,CAMK2A,LRRC7,8.584963,6.025693920000002
34,CAMK2A,MAP2,7.802554,5.6450157132999985
35,CAMK2A,MAPT,7.9434166,6.289994266
36,CAMK2A,MTR,4.9319024,4.081848733999998
37,CAMK2A,MYH7B,3.6984123999999996,5.470927521
38,CAMK2A,NAA38,3.6599126,3.7306919092999995
39,CAMK2A,NAPA,7.8889685,3.7462996747999995
40,CAMK2A,NRGN,6.9434166,6.192757726999999
41,CAMK2A,OGG1,4.769387200000001,3.8038189406000003
42,CAMK2A,PANK4,4.7714376,3.0422858594999997
43,CAMK2A,PBRM1,4.304005999999999,3.898712202399999
44,CAMK2A,PCDH12,4.138706,4.149615333
45,CAMK2A,PEBP1,6.794190400000001,5.366039771999999
46,CAMK2A,PICALM,7.120294,5.513255487399997
47,CAMK2A,PLCH1,5.5111422999999995,3.5477454699999997
48,CAMK2A,POLR2I,4.3770695,3.4313833677999996
49,CAMK2A,PPP2R1A,6.802554,4.415296695399999
50,CAMK2A,PRKAR2B,6.9434166,5.814283113999998
51,CAMK2A,PRX,3.8967822,3.287207532799999
52,CAMK2A,PURA,5.0242476,4.4462282644
53,CAMK2A,RAB21,7.120294,4.372936097
54,CAMK2A,RAB5A,8.528379,4.485842669999999
55,CAMK2A,RGS22,2.4210613,3.7386603761000003
56,CAMK2A,RNF20,4.545824,4.797979752800001
57,CAMK2A,RPS18,5.9068904,5.295937512000003
58,CAMK2A,RTN4,5.9068904,4.1367076408
59,CAMK2A,SCN2A,5.4806256,4.716802034499998
60,CAMK2A,SEC62,3.3825448,3.6170780256
61,CAMK2A,SEMA6C,5.0563912,3.0929556458999996
62,CAMK2A,SLAMF1,4.769387200000001,3.9478185040000007
63,CAMK2A,SLC6A17,6.157356299999999,5.572929094999999
64,CAMK2A,SMG1,6.3523016,5.1832025904
65,CAMK2A,SPTBN1,6.592194,4.906699276699999
66,CAMK2A,SPTBN2,5.0563912,3.7119486089999993
67,CAMK2A,SV2B,6.157356299999999,4.5135144679999994
68,CAMK2A,SYNGR3,4.65139,4.144735044300001
69,CAMK2A,SYNJ1,7.8537793,4.262653212999997
