Genes,Phos Site No,Domain No,Protein Mass,Transcript Length,Gene Length,Exon No,CDS Length,Isoform No,Amino Acid Length,target
LAGE3,1,1,14804,949.0,1488.0,3.0,432.0,1,143.0,Expanded Positives
KIF5C,15,1,109495,3697.0,122938.34146341465,12.3,2548.0188679245284,3,631.0,Expanded Positives
ARFGAP2,38,1,56720,1238.0,12826.0,7.133333333333334,757.4569536423842,19,198.63157894736838,Expanded Positives
PTPN4,6,6,105911,2724.2,224977.0,8.333333333333334,1249.1666666666667,7,262.0,Expanded Positives
SLC24A2,3,1,73664,6459.5,279476.0,9.5,1961.842105263158,2,652.5,Expanded Positives
RASA1,15,5,116403,3399.25,124043.0,22.66666666666667,2527.8046875,5,843.4,Expanded Positives
DST,143,7,860662,7866.578947368421,496662.0,21.25,12977.156756756754,19,2175.7368421052633,Expanded Positives
LRFN4,9,3,66860,2209.5,3828.0,2.333333333333333,1517.4,2,526.5,Expanded Positives
KCNQ5,22,2,102179,4203.384615384615,577059.0,11.0,2532.188811188811,13,683.0769230769231,Expanded Positives
NPY2R,2,1,42731,3568.5,8442.0,2.0,1146.0,2,381.0,Expanded Positives
LRFN1,19,3,82318,3381.0,8768.0,2.0,2316.0,1,771.0,Expanded Positives
KIF26B,68,1,223883,12798.666666666664,469959.1333333334,8.571428571428571,5833.625,3,1929.666666666667,Expanded Positives
PRKCA,32,4,76750,8964.0,508130.0,9.4,1199.0,3,376.66666666666674,Expanded Positives
UBE2D3,7,1,16687,1428.947368421053,74513.0,6.636363636363638,320.6935483870968,26,102.69230769230771,Expanded Positives
CNTN1,8,3,113320,2533.6666666666665,379976.0,11.909090909090908,2207.416,10,466.3,Expanded Positives
PCMT1,3,1,24636,1451.625,61977.0,6.384615384615384,562.5555555555555,12,173.91666666666663,Expanded Positives
SLC6A15,11,1,81836,2292.5714285714284,54124.0,5.090909090909091,1389.571428571429,7,306.2857142857143,Expanded Positives
ACTR1B,9,1,42293,2243.0,8144.0,6.666666666666668,1131.0,1,376.0,Expanded Positives
SNAP25,4,1,23315,1531.666666666667,88588.0,5.2,540.047619047619,3,168.33333333333334,Expanded Positives
RPS14,11,1,16273,1276.8,7104.0,4.375,446.5,6,148.0,Expanded Positives
CRMP1,31,1,62184,2940.333333333333,144974.0,11.833333333333336,1831.0,3,609.3333333333334,Expanded Positives
RAB22A,4,1,21855,8651.0,57792.0,5.5,585.0,1,194.0,Expanded Positives
PRPSAP2,11,2,40926,980.3157894736843,91202.0,7.344827586206898,573.7070707070708,25,170.6,Expanded Positives
TSPYL4,3,1,45126,4180.0,4179.0,1.0,1245.0,1,414.0,Expanded Positives
TPI1,23,1,30791,1123.125,3829.0,5.3,572.1224489795917,8,175.5,Expanded Positives
FBXW11,10,3,62091,2401.6,145324.0,7.166666666666668,972.4492753623188,8,248.75,Expanded Positives
SPIN3,5,1,29207,3540.8,177529.0,4.6,280.48514851485146,43,111.06976744186045,Expanded Positives
SNPH,14,1,53537,4698.75,43048.0,5.75,1573.9565217391305,4,524.25,Expanded Positives
CHD4,73,8,218005,4586.727272727273,44442.0,18.444444444444443,4672.3102625298325,31,1185.0967741935485,Expanded Positives
AK5,9,1,63333,2104.5,277947.0,5.384615384615384,1206.6666666666667,5,282.6,Expanded Positives
EIF4E1B,4,1,27596,1378.4,16026.0,6.333333333333332,637.0769230769231,5,197.4,Expanded Positives
PCDH9,13,3,136064,11440.0,927611.0,3.6666666666666665,2884.8,5,942.2,Expanded Positives
ANK3,183,7,480410,2339.333333333333,707192.0,10.375,4390.222222222223,26,632.3461538461537,Expanded Positives
TRPM2,14,2,171198,4217.333333333333,92918.0,22.5,4109.8,6,1066.3333333333333,Expanded Positives
DOK6,5,1,38318,4781.5,448199.0,4.6,852.5454545454545,2,243.5,Expanded Positives
KCNB2,6,3,102563,3748.0,401124.0,3.0,2736.0,1,911.0,Expanded Positives
TOMM20,3,1,16298,3283.0,19496.0,4.333333333333333,438.0,1,145.0,Expanded Positives
ARHGEF11,69,4,167704,6338.5,110530.0,16.285714285714285,4629.740740740741,2,1542.0,Expanded Positives
SMARCA4,54,7,184646,4272.38888888889,118601.0,22.592592592592588,3947.9248658318425,43,1111.7674418604652,Expanded Positives
FSCN1,24,1,54530,1156.75,13839.0,4.2,711.6470588235294,4,220.5,Expanded Positives
FOXE1,3,1,38076,3462.0,3461.0,1.0,1122.0,1,373.0,Expanded Positives
G3BP1,25,2,52164,3282.4285714285716,41740.0,6.357142857142858,640.5301204819277,12,159.66666666666666,Expanded Positives
MAGED1,22,1,86161,2782.25,99350.0,8.1,2381.377358490566,4,792.0,Expanded Positives
KCNC4,7,3,69767,6403.75,71757.0,3.375,1676.1,5,533.4,Expanded Positives
NCEH1,6,1,45808,3031.4,80969.0,4.285714285714286,993.0714285714287,5,312.6,Expanded Positives
ARL8B,2,1,21539,2532.6666666666665,58667.0,4.875,453.0,5,148.0,Expanded Positives
MGAT3,1,1,61313,2171.6666666666665,35182.0,2.333333333333333,735.0,3,267.3333333333333,Expanded Positives
BAG6,34,2,119409,1482.2590361445782,13680.32558139535,8.713656387665198,2061.629482071713,166,436.98795180722885,Expanded Positives
HNRNPM,35,2,77516,1266.090909090909,44347.0,8.176470588235292,1295.8951612903227,12,355.41666666666674,Expanded Positives
DPP6,13,2,97588,3150.166666666666,1006861.0,9.4375,2272.7368421052633,12,645.1666666666666,Expanded Positives
DNAJC7,10,5,56441,887.3333333333335,44941.0,6.173913043478262,741.125,16,191.125,Expanded Positives
SNN,2,3,9497,3264.0,10697.0,2.0,267.0,1,88.0,Expanded Positives
AP2B1,26,3,104553,2369.642857142857,148367.0,11.545454545454545,1809.7702127659572,19,426.0,Expanded Positives
ASTN2,8,4,148243,3137.625,989845.0,14.25,2608.763157894737,8,652.25,Expanded Positives
RAP1GDS1,2,1,66317,1504.75,182477.0,7.666666666666668,1283.8076923076926,15,305.93333333333334,Expanded Positives
ATCAY,2,2,42120,2801.666666666666,48218.0,8.333333333333334,753.1111111111112,4,230.25,Expanded Positives
SSX2IP,18,1,71236,3103.8,47096.0,8.9,1578.113924050633,7,445.57142857142856,Expanded Positives
GDAP1,3,2,41346,2447.0,167742.0,4.625,711.0,3,236.0,Expanded Positives
CLTA,13,1,27077,1065.25,113925.0,5.7,663.6315789473684,10,209.6,Expanded Positives
MAPRE2,17,2,37031,2480.6,166542.0,5.384615384615384,716.3809523809523,10,227.6,Expanded Positives
BAG4,20,1,49594,2286.333333333333,36768.0,3.75,1170.0,3,344.33333333333326,Expanded Positives
SLC7A14,17,2,84052,10140.0,126527.0,5.0,2316.0,1,771.0,Expanded Positives
RAB6A,13,2,23593,1717.0,85499.0,6.1,417.4423076923077,8,128.375,Expanded Positives
APOO,3,1,22285,777.8,74581.0,5.777777777777778,389.38095238095235,6,118.33333333333331,Expanded Positives
SLITRK1,4,1,77735,5189.0,5188.0,1.0,2091.0,1,696.0,Expanded Positives
GABRD,5,2,50708,1309.3333333333333,11429.0,6.473684210526316,1039.87012987013,10,332.7,Expanded Positives
MRPL28,6,1,30157,874.4285714285713,4320.0,4.818181818181818,686.0833333333334,7,209.7142857142857,Expanded Positives
EEF1D,42,2,31122,889.471264367816,19030.585227272728,5.12621359223301,736.3834745762712,91,193.04395604395611,Expanded Positives
APOA1,12,1,30778,1022.8,2199.0,3.4,796.2352941176471,5,262.6,Expanded Positives
PIN1,12,2,18243,841.0,14425.0,4.454545454545454,361.2380952380952,5,122.2,Expanded Positives
ATR,27,4,301367,7998.0,129726.0,14.5,6262.9817073170725,6,604.8333333333334,Expanded Positives
CAMTA2,22,2,131530,3880.833333333334,19683.0,10.9375,2869.885135135135,8,818.75,Expanded Positives
NCAM1,11,3,94574,2873.315789473684,317189.0,10.4,2025.833333333333,20,538.2,Expanded Positives
RGS20,5,1,43692,1751.75,107508.0,4.1,650.5555555555555,6,192.0,Expanded Positives
MDH1,22,2,36426,941.8888888888887,18588.0,4.875,647.968253968254,10,191.9,Expanded Positives
KNDC1,21,3,191397,5473.0,66193.0,12.0,4566.0,2,1445.0,Expanded Positives
CPEB1,6,3,62595,1962.6,102154.46511627908,8.36111111111111,1394.1322957198443,27,395.7407407407408,Expanded Positives
RAB1A,22,1,22678,1808.25,59635.0,5.0,538.0,5,170.6,Expanded Positives
LANCL2,4,1,50854,4353.0,68294.0,6.0,705.1052631578948,2,245.0,Expanded Positives
SLC35B4,2,1,37424,3854.5,27598.0,7.25,708.1111111111112,3,231.33333333333331,Expanded Positives
RB1,60,4,106159,2596.0,295710.0,8.777777777777779,2454.403225806452,5,423.4,Expanded Positives
ELAVL1,25,1,36092,2315.75,47086.0,4.6,750.0,4,234.5,Expanded Positives
LRRC40,15,2,68250,2843.0,60774.0,15.0,1809.0,1,602.0,Expanded Positives
PNMA2,3,1,41509,4730.0,9391.0,3.125,1095.0,1,364.0,Expanded Positives
GSTP1,19,3,23356,628.3333333333334,3061.0,4.375,394.5384615384616,6,133.33333333333334,Expanded Positives
ACTN4,73,4,104854,2137.5,83940.0,8.090909090909092,1879.8688524590164,12,458.83333333333326,Expanded Positives
AP2A2,14,3,103960,1212.5,79715.70528967255,5.925373134328357,1576.8301886792453,31,296.5806451612903,Expanded Positives
UPF1,36,5,124345,5329.5,36298.0,7.461538461538463,3373.5,2,1123.5,Expanded Positives
SPEN,206,2,402248,5003.0,92749.0,6.0,6755.461538461538,3,1444.666666666667,Expanded Positives
GIT2,60,5,84543,3703.444444444444,66587.0,10.8,1944.8012422360248,9,635.7777777777778,Expanded Positives
JPH1,29,1,71686,4590.0,86840.0,4.666666666666667,1192.3636363636365,2,370.0,Expanded Positives
AR,32,3,99188,5220.142857142857,186598.0,5.777777777777778,1997.4375,8,654.625,Expanded Positives
GPI,33,1,63147,1081.5652173913043,36129.62222222221,7.7142857142857135,908.1402714932127,27,237.14814814814812,Expanded Positives
PRMT8,5,1,45291,1785.0,212624.0,10.25,1171.5,2,389.5,Expanded Positives
CAMKK1,17,1,55735,3176.666666666666,34576.0,14.0,1560.0,3,519.0,Expanded Positives
CAMK1D,14,1,42914,3818.666666666666,486063.0,8.0,1045.4,3,344.33333333333326,Expanded Positives
PRKCB,33,4,76869,2475.6,384628.0,5.666666666666668,1617.1333333333334,7,437.0,Expanded Positives
CAD,54,8,242984,3356.4,26574.0,11.454545454545455,5510.588785046729,5,1045.6,Expanded Positives
MCM2,40,5,101896,1879.5,24026.0,8.444444444444445,1403.8,6,368.0,Expanded Positives
SYT3,7,1,63304,2215.75,18574.0,6.833333333333332,1564.166666666667,5,389.0,Expanded Positives
TARDBP,34,2,44740,1336.357142857143,14076.0,4.84375,665.5714285714286,26,205.34615384615384,Expanded Positives
SSRP1,41,4,81075,1275.5,9906.0,9.4,1279.4166666666667,4,299.0,Expanded Positives
RPL12,9,2,17819,566.5,3732.0,5.2,452.3076923076923,2,148.5,Expanded Positives
HNRNPA0,24,1,30841,8726.0,8725.0,1.0,918.0,1,305.0,Expanded Positives
ANXA2,53,1,38604,774.6296296296298,55749.0,7.552631578947367,558.2430278884462,30,160.33333333333334,Expanded Positives
CHST1,7,1,46715,3906.0,17933.0,3.0,1236.0,1,411.0,Expanded Positives
ACTR1A,6,1,42614,2778.0,40831.0,6.571428571428571,957.2068965517243,3,309.6666666666667,Expanded Positives
ZBTB18,11,3,58354,3795.5,8537.0,2.0,1582.5,2,526.5,Expanded Positives
RYR2,51,9,564567,8361.6,791804.0,37.444444444444436,10754.825,2,4958.5,Expanded Positives
RIPPLY2,3,1,13906,592.5,4249.0,2.6666666666666665,312.42857142857144,2,99.0,Expanded Positives
TOMM34,18,1,34559,1973.0,18267.0,7.0,930.0,1,309.0,Expanded Positives
MSH2,18,5,104743,3682.4,260177.0,13.5,2420.8496240601503,9,707.6666666666665,Expanded Positives
MYCBP2,130,6,513636,7075.8,282437.0,18.916666666666668,12176.5101010101,5,2139.8,Expanded Positives
EEF1G,12,3,50119,1446.0,14490.0,7.25,1314.0,1,437.0,Expanded Positives
KCNG3,1,2,49593,3682.5,51965.0,2.0,1294.5,2,430.5,Expanded Positives
RHBDL1,3,1,48314,1273.0,2602.0,7.0,1045.9545454545455,3,346.66666666666674,Expanded Positives
OTUB1,8,1,31284,1631.7142857142858,15958.0,5.833333333333332,740.5714285714287,8,236.625,Expanded Positives
A2M,15,7,163291,2733.5,48565.0,6.6923076923076925,3009.3818181818183,4,451.25,Expanded Positives
MCM7,28,4,81308,2496.2,9212.0,8.307692307692307,1464.546875,6,410.0,Expanded Positives
PHB2,22,1,33296,971.375,5498.0,5.857142857142858,717.0338983050847,9,211.22222222222226,Expanded Positives
MYO1C,40,3,121682,3276.6,28500.0,13.95,2913.777777777778,13,761.9230769230769,Expanded Positives
GALNT13,2,2,64051,1760.0,582057.0,5.8,974.8541666666665,7,212.14285714285717,Expanded Positives
APBA2,15,2,82512,1871.7777777777774,219876.96703296702,8.272727272727273,1785.666666666667,18,383.77777777777777,Expanded Positives
CD44,26,1,81538,1239.7692307692307,93532.0,6.153846153846153,1020.1313131313133,27,265.037037037037,Expanded Positives
PHYHIPL,7,1,42486,3545.0,71131.0,4.5,738.75,3,258.3333333333333,Expanded Positives
KIF1B,65,6,204476,7373.875,170798.0,24.153846153846153,4960.6802721088425,8,1477.375,Expanded Positives
